"id1","id2","id3","id4","hhmid","s1eiii_63","s1eiii_64","s1eiii_65","s1eiii_66","s1eiii_67","s1eiii_68","s1eiii_69","s1eiii_70","s1eiii_71","s1eiii_72i","s1eiii_72ii","hhno"
1,2,5,33,3,2,,8,,,,,,,,,101005033
1,2,5,36,5,2,,8,,,,,,,,,101005036
1,2,5,36,6,2,,8,,,,,,,,,101005036
1,2,5,36,3,2,,1,,,4,"GROUNDNUT SELLER",911,1,5,,101005036
1,2,5,36,2,2,,1,,,5,"EXCAVATION",711,1,5,,101005036
1,2,5,36,1,2,,5,,,,,,,,,101005036
1,2,5,36,4,2,,8,,,,,,,,,101005036
1,2,5,40,3,2,,8,,,,,,,,,101005040
1,2,5,40,2,2,,8,,,,,,,,,101005040
1,2,5,40,4,2,,8,,,,,,,,,101005040
1,2,5,40,1,2,,7,,,,"FISH MONGER",621,7,5,,101005040
1,2,5,41,2,2,,8,,,,,,,,,101005041
1,2,5,41,1,2,1,,,,7,"CROP FARMING",621,1,5,,101005041
1,2,5,51,4,2,,8,,,,,,,,,101005051
1,2,5,51,1,2,,5,,,,,,,,,101005051
1,2,5,51,2,2,,7,,,,"FARMING",11,,,,101005051
1,2,5,51,3,2,,8,,,,,,,,,101005051
1,2,5,52,3,1,2,1,,,2,,0,1,4,,101005052
1,2,5,52,4,1,2,1,,,2,,0,1,3,,101005052
1,2,5,52,5,1,2,1,,,2,,0,1,3,,101005052
1,2,5,52,1,2,,16,,,,"FARMING",81,1,5,,101005052
1,2,5,52,2,2,,7,,,,"FARMING",81,1,4,,101005052
1,2,6,1,2,1,2,5,,,,,,,,,101006001
1,2,6,1,1,1,2,5,,,,,,,,,101006001
1,2,6,11,2,2,,2,3,3,6,,,4,7,,101006011
1,2,6,15,4,2,,8,,,,,,,,,101006015
1,2,6,15,1,2,,5,,,,,,,,,101006015
1,2,6,15,3,2,,8,,,,,,,,,101006015
1,2,6,15,2,2,,5,,,,,,,,,101006015
1,2,6,23,4,2,,8,,,,,,,,,101006023
1,2,6,23,2,2,,2,1,1,5,,,4,4,,101006023
1,2,6,23,3,2,,8,,,,,,,,,101006023
1,2,6,23,1,2,,2,1,1,5,,,8,4,,101006023
1,2,6,23,5,2,,8,,,,,,,,,101006023
1,2,6,23,6,2,,8,,,,,,,,,101006023
1,2,6,29,1,2,,5,,,,,,,,,101006029
1,2,6,36,1,2,2,5,,,,,,,,,101006036
1,2,6,42,1,2,,1,,,7,"BUY COCONUT AND PROCESS IT AS",741,4,5,,101006042
1,2,6,42,2,2,,9,,,,"SELL CLOTHES",743,8,,,101006042
1,2,6,52,1,2,,1,,,7,"SELLS CLOTH",523,4,4,,101006052
1,2,6,55,2,2,,3,8,3,5,,,4,4,,101006055
1,2,6,56,2,2,2,8,,,,,,,,,101006056
1,2,6,56,3,2,2,8,,,,,,,,,101006056
1,2,6,59,2,2,,2,2,3,6,"SELLS BANKU",741,4,4,,101006059
1,2,6,59,1,2,,2,1,3,7,,,1,5,,101006059
1,2,6,60,1,2,,1,,,7,,,4,4,,101006060
1,2,6,64,1,2,,5,,,,,,,,,101006064
1,2,7,4,4,1,2,1,,,1,,,1,5,,101007004
1,2,7,4,1,,,,,,,"CHEFF",741,1,10,,101007004
1,2,7,4,3,2,,1,,,4,,,2,8,,101007004
1,2,7,4,2,2,,1,,,6,,,1,5,,101007004
1,2,7,4,5,2,,8,,,,,,,,,101007004
1,2,7,4,6,2,,8,,,,,,,,,101007004
1,2,7,7,1,1,1,,4,1,5,"SELLING OF SACHET WATER (ICE)",523,3,10,,101007007
1,2,7,10,2,2,,5,,,,,,,,,101007010
1,2,7,10,1,2,,5,,,,,,,,,101007010
1,2,7,14,2,2,,5,,,,,,,,,101007014
1,2,7,19,2,2,,5,,,,,,,,,101007019
1,2,7,19,5,2,,8,,,,,,,,,101007019
1,2,7,19,1,2,,1,,,7,"FARMING",621,3,5,,101007019
1,2,7,19,3,2,,8,,,,,,,,,101007019
1,2,7,19,4,2,,8,,,,,,,,,101007019
1,2,7,25,1,2,,1,,,7,,0,1,2,,101007025
1,2,7,25,2,2,,8,,,,,,,,,101007025
1,2,7,25,4,2,,8,,,,,,,,,101007025
1,2,7,25,6,2,,5,,,,,,,,,101007025
1,2,7,26,6,2,,8,,,,,,,,,101007026
1,2,7,26,1,2,,5,,,,,,,,,101007026
1,2,7,26,2,2,,5,,,,,,,,,101007026
1,2,7,26,5,2,,8,,,,,,,,,101007026
1,2,7,26,4,2,,8,,,,,,,,,101007026
1,2,7,26,3,2,,5,,,,,,,,,101007026
1,2,7,33,2,2,,5,,,,,,,,,101007033
1,2,7,33,5,2,,8,,,,,,,,,101007033
1,2,7,33,4,2,,8,,,,,,,,,101007033
1,2,7,33,1,2,,2,1,2,3,,0,3,2,,101007033
1,2,7,33,3,2,,8,,,,,,,,,101007033
1,2,7,36,6,2,2,8,,,,,,,,,101007036
1,2,7,36,7,2,2,8,,,,,,,,,101007036
1,2,7,36,1,2,,5,,,,,,,,,101007036
1,2,7,36,5,2,2,8,,,,,,,,,101007036
1,2,7,36,4,2,2,8,,,,,,,,,101007036
1,2,7,36,3,2,2,8,,,,,,,,,101007036
1,2,7,40,1,2,,12,,,,"DRIVING COMPANY CAR",831,1,5,,101007040
1,2,7,40,2,2,,12,,,,"FARMING",621,1,5,,101007040
1,2,7,68,2,2,,1,,,1,"SMALL SCALE MINING",931,1,5,,101007068
1,2,7,68,1,2,,1,,,1,"SMALL SCALE MINING",931,1,5,,101007068
1,2,7,68,4,2,,8,,,,,,,,,101007068
1,2,7,68,3,2,,8,,,,,,,,,101007068
1,2,7,82,1,2,,5,,,,,,,,,101007082
1,2,7,82,2,2,,5,,,,,,,,,101007082
1,2,7,82,3,2,,8,,,,,,,,,101007082
1,2,25,2,3,1,2,1,,,6,"CROP FARMING",611,1,15,,101025002
1,2,25,2,5,2,,8,,,,,,,,,101025002
1,2,25,2,2,1,2,1,,,5,"CROP FARMING",611,1,10,,101025002
1,2,25,2,1,1,2,1,,,5,"CROP FARMING",611,1,20,,101025002
1,2,25,2,4,2,,8,,,,,,,,,101025002
1,2,25,3,1,1,2,5,,,,,,,,,101025003
1,2,25,3,5,2,2,8,,,,,,,,,101025003
1,2,25,3,3,2,2,8,,,,,,,,,101025003
1,2,25,3,2,1,2,5,,,,,,,,,101025003
1,2,25,3,4,2,2,8,,,,,,,,,101025003
1,2,25,6,5,2,,8,,,,,,,,,101025006
1,2,25,6,1,2,,5,,,,,,,,,101025006
1,2,25,6,3,2,,8,,,,,,,,,101025006
1,2,25,6,4,2,,8,,,,,,,,,101025006
1,2,25,6,2,2,,5,,,,,,,,,101025006
1,2,25,12,1,1,2,1,,,7,"CROP FARMING",611,1,20,,101025012
1,2,25,12,2,1,2,1,,,6,"CROP FARMING",611,1,10,,101025012
1,2,25,13,2,2,,5,,,,,,,,,101025013
1,2,25,13,1,1,2,1,,,5,"CROP FARMING",611,1,15,,101025013
1,2,25,33,2,1,2,5,,,,,,,,,101025033
1,2,25,33,4,2,,8,,,,,,,,,101025033
1,2,25,33,3,2,,8,,,,,,,,,101025033
1,2,25,33,1,1,2,5,,,,,,,,,101025033
1,2,25,37,4,2,,8,,,,,,,,,101025037
1,2,25,37,1,1,2,1,,,7,"CROP FARMING",611,3,6,,101025037
1,2,25,37,2,1,2,1,,,6,"CROP FARMING",611,1,4,,101025037
1,2,25,37,3,2,,8,,,,,,,,,101025037
1,2,25,43,2,2,,5,,,,,,,,,101025043
1,2,25,43,3,,,8,,,,,,,,,101025043
1,2,25,43,4,,,8,,,,,,,,,101025043
1,2,25,43,1,2,,5,,,,,,,,,101025043
1,2,25,44,1,2,,5,,,,,,,,,101025044
1,2,25,50,7,2,,8,,,,,,,,,101025050
1,2,25,50,5,1,2,1,,,6,,0,4,8,,101025050
1,2,25,50,3,1,2,1,,,7,,0,1,10,,101025050
1,2,25,50,1,1,2,1,,,6,"CROP FARMING",611,1,10,,101025050
1,2,25,50,6,2,,8,,,,,,,,,101025050
1,2,25,50,8,2,,8,,,,,,,,,101025050
1,2,25,50,4,1,2,1,,,3,,0,1,15,,101025050
1,2,25,50,2,1,2,1,,,7,"CROP FARMING",611,1,10,,101025050
1,2,25,51,3,2,,8,,,,,,,,,101025051
1,2,25,51,1,1,1,,3,5,5,"CROP FARMING",611,1,10,,101025051
1,2,25,51,2,1,1,,3,5,4,"CROP FARMING",611,1,10,,101025051
1,2,25,54,4,2,,5,,,,,,,,,101025054
1,2,25,54,1,2,,5,,,,,,,,,101025054
1,2,25,54,3,2,,5,,,,,,,,,101025054
1,2,25,54,2,2,,5,,,,,,,,,101025054
1,2,25,97,3,1,2,1,,,5,,0,1,10,,101025097
1,2,25,97,1,1,2,1,,,7,"CROP FARMING",611,1,15,,101025097
1,2,25,97,4,2,,8,,,,,,,,,101025097
