"id1","id2","id3","id4","hhmid","s1ei_1","s1ei_2","s1ei_3","s1ei_4","s1ei_5","s1ei_6i","s1ei_6ii","s1ei_7i","s1ei_7ii","s1ei_7iii","s1ei_8i","s1ei_8ii","s1ei_9","s1ei_10i","s1ei_10ii","s1ei_11","s1ei_12","s1ei_13i","s1ei_13ii","s1ei_14","s1ei_15","s1ei_16","s1ei_17","s1ei_18","s1ei_19","s1ei_20","s1ei_21","s1ei_22","s1ei_23","s1ei_24","s1ei_25i","s1ei_25ii","s1ei_25iii","s1ei_26","s1ei_27","s1ei_28","s1ei_29i","s1ei_29ii","hhno"
1,5,4,16,1,1,"PADDLING OF CANNOE AND CATCHIN",615,"FISHING",501,20,,50,5,7,5,7,1,100,,2,1,50,,2,2,2,2,1,2,2,2,7,,2,,,,,,,,,101004016
1,5,4,22,1,1,"TEACHING PRIMARY SCHOOL",233,"EDUCATION",8010,37,,36,5,8,5,8,1,60,,3,2,,,,1,1,1,1,1,1,2,14,11,2,,,,,,,,,101004022
1,5,4,24,1,1,"SWEEPING AND CLEANING SEA SHOR",916,"SANITORY SERVICES",9000,,4,16,5,3,5,3,1,50,,3,2,,,,2,2,1,1,1,1,2,7,11,2,,,,,,,,,101004024
1,5,4,27,1,1,"WATERING AND MANAGING GARDEN",913,"GARDENER",9500,,1,4,5,8,5,8,1,100,,3,2,,,,1,2,1,1,1,1,2,22,29,2,,,,,,,,,101004027
1,6,1,2,1,1,"TAXI DRIVER",832,"TRANSPORTATION",6021,4,,40,6,14,5,14,1,60,,3,2,,,,1,2,2,2,2,2,2,12,,2,,,,,,,,,101001002
1,6,1,9,1,1,"TEACHING",233,"EDUCATION (PRY)",8010,1,1,40,5,7,5,7,1,80,,3,1,15,,2,1,1,1,1,2,1,2,14,10,2,,,,,,,,,101001009
1,6,1,22,1,1,"BUILDING AND CONSTRUCTION",,"MASON",4520,4,3,30,4,12,6,,1,80,,3,2,,,,1,2,2,4,2,2,2,13,3,2,,,,,,,,,101001022
1,6,1,26,1,1,"FARM LABOURER",921,"WEEDING",140,3,3,52,6,10,6,10,1,70,,3,2,,,,1,2,2,4,2,2,2,6,4,2,,,,,,,,,101001026
1,6,2,29,1,1,"STOREKEEPER",523,"RETAIL",5220,5,,44,6,9,6,9,1,180,,3,2,,,,2,2,2,4,2,2,2,9,1,2,,,,,,,,,101002029
1,6,2,41,1,1,"ONLOADING&OFFLOADING OF BAG",511,"TRANSPORT",6023,20,,48,5,8,5,8,1,8,,1,2,,,,1,1,2,4,2,1,2,12,,2,,,,,,,,,101002041
1,6,2,50,1,1,"STORE KEEPER",523,"RETAIL",5231,2,,46,6,10,6,10,1,100,,3,2,,,,2,2,2,4,2,2,2,9,1,2,,,,,,,,,101002050
1,6,2,52,1,1,"GOODS LOADING",511,"TRANSPORT",6301,20,,48,6,9,6,8,1,5,,1,2,,,,2,1,2,4,2,2,2,12,,2,,,,,,,,,101002052
1,8,13,6,1,1,"FARM LABOURER",611,"AGRIC",140,2,,52,5,5,5,5,1,100,,3,2,,,,2,2,1,1,2,2,1,6,20,2,,,,,,,,,101013006
1,8,13,15,1,1,"PLANTATION LABOURER",611,"NURSING BEDS",140,2,,52,5,6,5,6,1,80,,3,2,,,,2,2,1,3,1,1,1,6,18,2,,,,,,,,,101013015
1,8,13,103,2,1,"FARM LABOURER",921,"NURSING",140,2,,52,5,8,5,8,1,80,,3,2,,,,2,2,1,3,2,1,1,6,8,1,,1,,,,,,,101013103
1,8,13,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013103
1,8,15,6,1,1,"SMALL SCALE MINING",711,"GOLD MINING",1321,,1,3,5,8,4,8,1,200,,3,2,,,,1,2,2,1,2,2,2,6,9,2,,,,,,,,,101015006
1,8,15,194,1,1,"DRIVING TAXI (SPARE DRIVER)",832,"LAND TRANSPORT",6022,,5,20,6,3,,,1,10,,1,2,,,,2,2,2,4,2,2,2,10,2,2,,,,,,,,,101015194
1,8,16,1,1,1,"TAPPING OF RUBBER",921,"AGRICULTURE",140,4,,52,7,5,7,5,1,120,,3,2,,,,2,2,1,1,2,2,2,6,1,2,,,,,,,,,101016001
1,8,16,41,2,1,"WEEDING IN RUBBER PLANTATION",614,"AGRICULTURE",140,10,,52,6,2,6,2,1,50,,3,2,,,,2,2,2,3,2,2,2,6,5,2,,,,,,,,,101016041
1,8,16,53,1,1,"SWEEPING&COLLECTING OF RUBBISH",916,"SANITATION",9000,,4,16,5,4,5,4,1,50,,3,2,,,,1,1,2,1,1,1,2,11,2,2,,,,,,,,,101016053
1,8,16,111,1,1,"WEEDING OF FARMS AS CASUAL LAB",921,"AGRICULTURE",140,5,,50,5,5,2,5,1,3,,1,2,,,,2,2,2,4,2,2,2,6,1,2,,,,,,,,,101016111
1,8,16,163,1,1,"FARM LABOUR",921,"SERVICE",200,1,,48,6,4,6,4,1,50,,3,2,,,,2,2,2,1,2,2,1,6,2,2,,,,,,,,,101016163
