"id1","id2","hhno","hhmid","s1gii_14","s1gii_15","s1gii_16i","s1gii_16_11","s1gii_16_112","s1gii_16ii","s1gii_16_211","s1gii_16_212","s1gii_16iii","s1gii_16_311","s1gii_16_312","s1gii_16iv","s1gii_16_411","s1gii_16_412","s1gii_17i","s1gii_17ii","s1gii_17iii","s1gii_17iv","s1gii_18i","s1gii_18ii","s1gii_18iii","s1gii_18iv","s1gii_19i","s1gii_19ii","s1gii_19iii","s1gii_19iv","s1gii_20i","s1gii_20ii","s1gii_20iii","s1gii_20iv","s1gii_21i","s1gii_21ii","s1gii_21iii","s1gii_21iv","s1gii_22i","s1gii_22ii","s1gii_22iiii","s1gii_22iv","s1gii_23i","s1gii_23ii","s1gii_23iii","s1gii_23iv","s1gii_24i","s1gii_2ii","s1gii_24iii","s1gii_24iv","s1gii_25i","s1gii_25ii","s1gii_25iii","s1gii_25iv","s1gii_26i","s1gii_26ii","s1gii_26iii","s1gii_26iv","s1gii_27i","s1gii_27ii","s1gii_27iii","s1gii_27iv","s1gii_28i","s1gii_28ii","s1gii_28iii","s1gii_28iv","s1gii_29i","s1gii_29ii","s1gii_29iii","s1gii_29iv"
4,3,104101051,1,1,1,5,,,,,,,,,,,,3,,,,,,,,22,,,,23,,,,2,,,,1,,,,1,,,,2,,,,1,,,,4,,,,2,,,,523,,,,5253,,,
4,7,104117004,1,1,2,4,,,10,,,,,,,,,5,4,,,,,,,16,21,,,21,30,,,7,7,,,4,4,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,104117005,1,1,1,12,"AFRAM PLAINS",,,,,,,,,,,5,,,,,,,,45,,,,58,,,,7,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,104117005,5,5,1,5,,,,,,,,,,,,3,,,,,,,,32,,,,34,,,,6,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,104117007,2,2,1,1,,,,,,,,,,,,6,,,,,,,,20,,,,21,,,,2,,,,4,,,,1,,,,2,,,,2,,,,,,,,1,,,,323,,,,9500,,,
4,7,104117011,1,1,3,12,"VEKOLENU",,12,"FESI",,12,"ALAVANYO",,,,,4,4,4,,,,,,2,10,15,,6,13,19,,5,5,5,,1,1,1,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,104117011,2,2,1,12,"KWAMIKROM",,,,,,,,,,,,,,,,,,,16,,,,18,,,,7,,,,4,,,,1,,,,2,,,,2,,,,1,,,,1,,,,914,,,,9500,,,
4,7,104117012,2,1,2,5,,,5,,,,,,,,,,3,,,2,,,,34,39,,,38,42,,,3,3,,,4,4,,,1,1,,,4,3,,,3,4,,,1,2,,,2,2,,,140,140,,,5252,5252,,
4,7,104117012,1,1,3,12,"AFIENYA",,,,,12,"BOTOKU",,,,,3,,4,,,2,,,16,17,23,,17,23,38,,2,2,,,,,1,,1,1,1,,2,4,2,,2,4,2,,0,1,1,,2,2,2,,419,611,611,,7512,112,112,
4,7,104117020,1,1,1,,,,,,,,,,,,,,,,,2,,,,32,,,,34,,,,2,,,,4,,,,1,,,,2,,,,2,,,,3,,,,2,,,,913,,,,7493,,,
4,7,104117024,1,1,2,10,,,11,"HOHOE",,,,,,,,4,4,,,,,,,24,26,,,26,32,,,7,7,,,3,3,,,2,1,,,,4,,,,2,,,,5,,,,2,,,,512,,,,5520,,
4,7,104117041,1,1,2,5,,,,,,,,,,,,3,,,,,1,,,18,21,,,21,40,,,2,3,,,4,5,,,1,1,,,4,4,,,2,1,,,2,4,,,2,2,,,743,741,,,1711,1551,,
4,7,104119011,1,1,3,5,,,,,,,,,,,,3,,,,,,,,59,,,,63,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,7414,,,
4,7,104119038,1,1,1,12,,"DZODZE",,,,,,,,,,4,,,,,,,,30,,,,,,,,3,,,,6,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,
4,7,104119039,1,1,1,11,"KPANDO",,,,,,,,,,,4,,,,,,,,44,,,,60,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,8090,,,
4,7,104119043,1,1,2,12,,"LAKLABI",5,,,,,,,,,4,3,,,,,,,32,35,,,34,37,,,1,9,,,6,6,,,1,2,,,,,,,1,1,,,,,,,2,,,,232,,,,8021,,,
4,7,104119043,3,1,1,12,,"LAKLABI",,,,,,,,,,,,,,,,,,2,,,,4,,,,7,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,104119043,2,1,1,12,,"LAKLABI",,,,,,,,,,,,,,,,,,30,,,,32,,,,7,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104120001,1,1,1,12,"DODO AMANFROM",,12,"DODO AMANFROM",,,,,,,,4,4,,,,,,,37,24,,,58,45,,,3,6,,,1,3,,,1,1,,,2,2,,,2,2,,,,,,,2,2,,,621,621,,,111,111,,
4,49,104120006,1,1,1,3,,,,,,,,,,,,2,,,,,,,,25,,,,61,,,,9,,,,6,,,,1,,,,4,,,,1,,,,3,,,,2,,,,232,,,,8021,,,
4,49,104120016,3,1,1,12,"LEKLEBE AGBESIA",,,,,,,,,,,4,,,,,,,,11,,,,12,,,,9,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104120016,4,1,1,12,"LEKLEBE AGBESIA",,,,,,,,,,,4,,,,,,,,8,,,,9,,,,9,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104120025,1,1,1,,,,,,,,,,,,,,,,,2,,,,25,,,,27,,,,2,,,,5,,,,1,,,,4,,,,1,,,,1,,,,2,,,,523,,,,5252,,,
4,49,104120039,1,1,1,11,"KRACHI",,,,,,,,,,,4,,,,,,,,42,,,,47,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,,,,7020,,,
4,49,104121003,1,1,2,,,,12,,"KPELIMA",,,,,,,,,,,2,,,,25,29,,,28,30,,,2,2,,,4,4,,,1,1,,,4,4,,,2,1,,,1,1,,,2,1,,,832,611,,,6022,111,,
4,49,104121015,2,2,1,1,,,,,,,,,,,,6,,,,,,,,18,,,,22,,,,6,,,,3,,,,1,,,,4,,,,2,,,,6,,,,2,,,,512,,,,5520,,,
4,49,104121015,1,1,1,5,,,,,,,,,,,,3,,,,,,,,41,,,,48,,,,2,,,,4,,,,1,,,,4,,,,2,,,,2,,,,2,,,,732,,,,2519,,,
4,49,104121016,1,1,1,5,,,,,,,,,,,,3,,,,,,,,39,,,,41,,,,2,,,,4,,,,1,,,,4,,,,1,,,,1,,,,2,,,,21,,,,7523,,,
4,49,104121016,2,2,1,5,,,,,,,,,,,,3,,,,,,,,10,,,,15,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104121023,1,1,1,11,"KPANDO",,,,,,,,,,,4,,,,,,,,28,,,,30,,,,2,,,,5,,,,1,,,,3,,,,4,,,,,,,,2,,,,913,,,,9309,,,
4,49,104121048,1,1,1,11,"ASHAIMAN",,,,,,,,,,,4,,,,,,,,20,,,,26,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104121049,1,1,1,12,,"GINGINSO",,,,,,,,,,4,,,,,,,,26,,,,28,,,,9,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104121091,1,1,4,11,"HOHOE",,5,,,12,,"FODOME",12,,"WLI",4,3,4,4,,,,,25,26,29,31,26,29,31,34,2,2,2,2,5,6,6,6,1,1,1,1,4,4,4,4,1,1,1,1,,,,,2,2,2,2,512,513,233,233,5520,9301,8010,8010
4,49,104121102,1,1,1,5,,,,,,,,,,,,3,,,,,,,,27,,,,30,,,,2,,,,4,,,,1,,,,4,,,,2,,,,2,,,,2,,,,913,,,,9500,,,
4,49,104121103,1,1,7,11,"SANTROKOFI BENUA",,11,"LIKPE ABRANI",,11,"KUTE BUEM",,11,"LIKPE BALA",,4,4,4,4,,,,,26,30,32,34,30,32,34,35,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,232,232,232,232,8021,8021,8021,8021
4,49,104121112,1,1,1,11,"SEFWI ESSEM",,,,,,,,,,,1,,,,,,,,43,,,,47,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104121130,1,1,4,5,,,4,,,12,,"LIKPE BALA",,,,3,5,4,,,,,2,13,14,16,20,14,16,17,23,7,7,7,7,4,4,4,4,2,2,2,1,,,,4,,,,2,,,,2,,,,2,,,,233,,,,8010
4,49,104123005,1,1,1,5,,,,,,,,,,,,3,,,,,,,,23,,,,26,,,,7,,,,1,,,,1,,,,4,,,,2,,,,1,,,,2,,,,713,,,,4520,,,
4,49,104123009,2,2,1,12,,"KUTE",,,,,,,,,,4,,,,,,,,41,,,,51,,,,4,,,,3,,,,1,,,,4,,,,3,,,,1,,,,2,,,,621,,,,111,,,
4,49,104123009,1,1,1,12,,"KUTE",,,,,,,,,,4,,,,,,,,50,,,,60,,,,3,,,,4,,,,1,,,,4,,,,2,,,,1,,,,2,,,,621,,,,111,,,
4,49,104123012,1,1,1,12,,"KUTEY",,,,,,,,,,4,,,,,,,,7,,,,20,,,,7,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104123014,1,1,1,12,,"SAVIEPE",,,,,,,,,,4,,,,,,,,55,,,,57,,,,18,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104123020,1,1,1,12,,"NKONYA",,,,,,,,,,4,,,,,,,,28,,,,31,,,,2,,,,4,,,,1,,,,4,,,,2,,,,1,,,,1,,,,621,,,,111,,,
4,49,104123028,2,2,1,11,"ASHAIMAN",,,,,,,,,,,3,,,,,,,,19,,,,24,,,,7,,,,4,,,,1,,,,2,,,,2,,,,,,,,1,,,,522,,,,5220,,,
4,49,104123029,1,1,1,12,,"AHAMASU",,,,,,,,,,4,,,,,,,,17,,,,21,,,,14,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104123031,1,1,1,12,,"PRESTEA",,,,,,,,,,1,,,,,,,,39,,,,41,,,,2,,,,5,,,,1,,,,4,,,,1,,,,2,,,,2,,,,621,,,,111,,,
4,49,104123032,1,1,1,5,,,,,,,,,,,,3,,,,,,,,13,,,,17,,,,2,,,,4,,,,1,,,,4,,,,2,,,,4,,,,2,,,,233,,,,8010,,,
4,49,104123036,1,1,1,12,,"SALIFU",,,,,,,,,,4,,,,,,,,19,,,,22,,,,7,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104123040,1,1,1,12,,"KUTE",,,,,,,,,,4,,,,,,,,23,,,,70,,,,6,,,,3,,,,1,,,,2,,,,2,,,,1,,,,1,,,,621,,,,111,,,
4,49,104124010,1,1,1,11,"KADJEBI",,,,,,,,,,,4,,,,,,,,36,,,,38,,,,7,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104124014,1,1,1,5,,,,,,,,,,,,3,,,,,,,,29,,,,30,,,,2,,,,4,,,,1,,,,4,,,,2,,,,2,,,,2,,,,323,,,,9500,,,
4,49,104124023,1,1,1,12,,"DZOLOKPUITA",12,,"AKATSI",12,,"SOGAKOPE",12,,"KRACHI",4,4,4,4,,,,,24,26,28,33,26,28,33,35,4,4,4,4,3,3,3,3,1,1,1,1,4,4,4,4,2,1,1,1,,,,,2,2,2,2,523,523,523,523,5252,5252,5252,5252
4,49,104124025,1,1,1,10,,,,,,,,,,,,4,,,,,,,,58,,,,59,,,,7,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104124033,1,1,1,5,,,,,,,,,,,,3,,,,,,,,25,,,,27,,,,2,,,,4,,,,1,,,,3,,,,2,,,,,,,,2,,,,712,,,,4520,,,
4,49,104124048,1,1,1,5,,,,,,,,,,,,3,,,,,,,,18,,,,19,,,,14,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104124052,1,1,1,5,,,,,,,,,,,,3,,,,,,,,5,,,,23,,,,7,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,104124057,1,1,1,5,,,,,,,,,,,,3,,,,45,,,,48,,,,2,,,,4,,,,1,,,,2,,,,2,,,,2,,,,,,,,2,,,,523,,,,5252,,,
4,50,104126007,1,1,1,4,,,,,,,,,,,,5,,,,,,,,4,,,,11,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,50,104126014,1,1,2,11,"HOHOE",,5,,,,,,,,,4,3,,,,,,,18,22,,,21,24,,,14,2,,,4,5,,,2,1,,,,4,,,,4,,,,1,,,,2,,,,712,,,,4520,,
4,50,104126017,2,2,1,12,,"OKAJA KROM",,,,,,,,,,4,,,,,,,,59,,,,64,,,,6,,,,3,,,,1,,,,4,,,,1,,,,1,,,,2,,,,611,,,,111,,,
4,50,104126017,3,2,1,11,"AKOSOMBO",,,,,,,,,,,5,,,,,,,,20,,,,31,,,,6,,,,3,,,,1,,,,4,,,,1,,,,1,,,,2,,,,523,,,,5252,,,
4,50,104126019,1,1,1,5,,,,,,,,,,,,3,,,,,,,,20,,,,24,,,,2,,,,5,,,,1,,,,4,,,,2,,,,1,,,,2,,,,712,,,,4520,,,
4,50,104126020,1,1,1,5,,,,,,,,,,,,3,,,,,,,,16,,,,24,,,,2,,,,4,,,,1,,,,1,,,,5,,,,1,,,,2,,,,913,,,,9500,,,
4,50,104126021,1,1,1,12,,"MOGOASE",,,,,,,,,,4,,,,,,,,39,,,,41,,,,3,,,,4,,,,1,,,,3,,,,1,,,,,,,,2,,,,733,,,,3610,,,
4,50,104126022,1,1,1,,,,,,,,,,,,,,,,,1,,,,22,,,,23,,,,2,,,,6,,,,1,,,,4,,,,1,,,,1,,,,2,,,,921,,,,122,,,
4,50,104126023,1,1,1,10,,,,,,,,,,,,4,,,,,,,,39,,,,42,,,,2,,,,5,,,,1,,,,3,,,,4,,,,,,,,2,,,,832,,,,6022,,,
4,50,104126023,2,2,1,12,,"AYOMA",,,,,,,,,,4,,,,,,,,63,,,,73,,,,7,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,50,104126025,1,1,2,9,,,5,,,,,,,,,1,3,,,,,,,19,21,,,20,42,,,6,4,,,3,3,,,2,1,,,,4,,,,1,,,,3,,,,2,,,,131,,,,2720,,
4,50,104126041,1,1,2,5,,,,,,,,,,,,3,,,,2,,,,10,25,,,17,28,,,9,2,,,5,6,,,2,1,,,,4,,,,1,,,,1,,,,2,,,,615,,,,502,,
4,50,104126041,2,2,1,5,,,,,,,,,,,,3,,,,,,,,20,,,,21,,,,2,,,,4,,,,1,,,,2,,,,2,,,,1,,,,2,,,,913,,,,9500,,,
4,50,104342003,1,1,2,12,,"FAHIAKOBO",12,,"KAJEBI",,,,,,,4,4,,,,,,,25,26,,,28,27,,,2,2,,,6,6,,,1,1,,,1,1,,,1,1,,,0,0,,,2,2,,,233,233,,,8010,8010,,
4,50,104342004,2,2,1,12,,"TONKOR",,,,,,,,,,4,,,,,,,,16,,,,21,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,50,104342007,1,1,1,5,,,,,,,,,,,,3,,,,,,,,19,,,,23,,,,3,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,50,104342013,1,1,1,12,,"K. KRACHI",,,,,,,,,,4,,,,,,,,30,,,,36,,,,3,,,,4,,,,1,,,,3,,,,1,,,,2,,,,2,,,,621,,,,111,,,
4,51,104127003,1,1,1,11,"JASIKAN",,,,,,,,,,,4,,,,,,,,23,,,,32,,,,2,,,,4,,,,1,,,,4,,,,2,,,,12,,,,2,,,,,,,,4540,,,
4,51,104127003,2,2,1,11,"JASIKAN",,,,,,,,,,,4,,,,,,,,17,,,,25,,,,4,,,,3,,,,1,,,,3,,,,4,,,,5,,,,2,,,,,,,,5252,,,
4,51,104127007,2,1,1,5,,,,,,,,,,,,,,,,,,,,22,,,,28,,,,16,,,,5,,,,1,,,,4,,,,4,,,,2,,,,2,,,,,,,,5252,,,
4,51,104127007,1,1,1,5,,,,,,,,,,,,3,,,,,,,,23,,,,29,,,,2,,,,4,,,,1,,,,4,,,,2,,,,1,,,,2,,,,,,,,4540,,,
4,51,104127042,1,1,2,12,,"NKWANTA",4,,,,,,,,,4,,,,,2,,,25,27,,,27,31,,,2,2,,,4,4,,,1,1,,,4,4,,,2,2,,,1,2,,,1,2,,,611,611,,,111,111,,
4,51,104127042,3,3,1,12,,"KAJEBI",4,,,,,,,,,4,,,,,,,,16,,,,19,,,,13,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,51,104133005,1,1,1,12,,"NKWANTA",,,,,,,,,,4,,,,,,,,20,,,,24,,,,2,,,,6,,,,1,,,,1,,,,1,,,,1,,,,2,,,,712,,,,4520,,,
4,51,104133005,2,2,1,12,,"NKWANTA",,,,,,,,,,4,,,,,,,,18,,,,19,,,,6,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,51,104133019,1,1,2,12,,"BUOHO",12,,"SUHUM",,,,,,,6,5,,,,,,,22,23,,,23,27,,,2,2,,,5,5,,,1,1,,,4,4,,,1,1,,,1,1,,,2,2,,,611,611,,,111,111,,
4,51,104133021,3,3,1,5,,,,,,,,,,,,3,,,,,,,,17,,,,22,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,51,104133025,3,3,1,5,,,,,,,,,,,,3,,,,,,,,20,,,,22,,,,14,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,51,104133025,1,1,2,5,,,11,"KPANDO",,,,,,,,3,4,,,,,,,23,24,,,24,27,,,2,2,,,4,4,,,1,1,,,4,4,,,,,,,1,1,,,2,1,,,744,611,,,1911,111,,
4,51,104133028,1,1,1,10,,,,,,,,,,,,4,,,,,,,,14,,,,18,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,51,104133043,1,1,1,5,,,,,,,,,,,,3,,,,,,,,16,,,,20,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,53,104105016,1,1,3,1,,,3,,,2,,,,,,7,2,1,,,,,,22,32,47,,32,47,60,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,,7523,7523,7523,
4,55,104122004,2,2,1,5,,,,,,,,,,,,3,,,,,,,,9,,,,11,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,55,104122005,1,1,1,5,,,,,,,,,,,,3,,,,,,,,18,,,,28,,,,2,,,,4,,,,1,,,,4,,,,2,,,,,,,,2,,,,512,,,,,,,
4,55,104122010,1,1,1,6,,,,,,,,,,,,8,,,,,,,,26,,,,61,,,,3,,,,4,,,,1,,,,4,,,,1,,,,24,,,,2,,,,521,,,,521,,,
4,55,104122010,2,1,1,6,,,,,,,,,,,,8,,,,,,,,19,,,,54,,,,6,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,55,104122012,1,1,3,11,"SUHUM",,11,"HOHOE",,10,,,,,,5,4,4,,,,,,22,32,33,,32,33,35,,4,4,4,,3,3,3,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
4,55,104122014,1,1,1,5,,,,,,,,,,,,3,,,,,,,,40,,,,42,,,,2,,,,5,,,,1,,,,4,,,,1,,,,,,,,2,,,,914,,,,9500,,,
4,55,104122015,2,2,2,11,"AKOSOMBO",,,,,,,,,,,5,,,,,2,,,15,21,,,21,22,,,3,3,,,4,4,,,2,1,,,,4,,,2,,,,,,,,2,,,,512,,,,5520,,,
4,55,104122015,1,2,2,9,,,3,,,,,,,,,1,2,,,,,,,28,38,,,38,58,,,3,3,,,4,4,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,55,104122016,1,1,1,10,,,,,,,,,,,,4,,,,,,,,21,,,,28,,,,7,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,55,104122018,1,1,1,12,"YUDAN",,,,,,,,,,,4,,,,,,,,20,,,,21,,,,7,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,58,104129017,1,1,1,12,,"KWAME DANSU",,,,,,,,,,4,,,,,,,,14,,,,16,,,,6,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,58,104129031,2,2,1,12,,"KPASSA",,,,,,,,,,4,,,,,,,,17,,,,18,,,,2,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,58,104130018,1,1,1,12,"PAWA",,,,,,,,,,,4,,,,,,,,28,,,,30,,,,5,,,,1,,,,1,,,,4,,,,1,,,,2,,,,2,,,,611,,,,112,,,
4,58,104130020,1,1,2,12,"TINZASE",,12,"LIMPUSI",,,,,,,,4,8,,,,,,,25,27,,,27,29,,,7,4,,,4,6,,,1,1,,,4,4,,,2,1,,,1,2,,,2,2,,,611,832,,,111,6022,,
4,58,104130020,2,2,1,12,"LIMPUSI",,,,,,,,,,,8,,,,,,,,24,,,,26,,,,7,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,58,104130021,1,1,2,5,,,12,"HAVE",,,,,,,,3,4,,,,,,,25,27,,,27,29,,,2,3,,,4,4,,,1,1,,,4,4,,,2,2,,,1,1,,,2,2,,,832,611,,,6022,111,,
4,58,104130028,1,1,1,,,,,,,,,,,,,,,,,15,,,,45,,,,47,,,,2,,,,6,,,,1,,,,1,,,,4,,,,1,,,,2,,,,913,,,,9000,,,
4,58,104130046,2,2,1,11,"ASHAIMAN",,,,,,,,,,,3,,,,,,,,15,,,,25,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,58,104131007,1,1,1,5,,,,,,,,,,,,3,,,,,,,,27,,,,28,,,,2,,,,4,,,,1,,,,4,,,,2,,,,1,,,,2,,,,832,,,,6022,,,
4,58,104131015,1,1,1,12,,"DZIMA",,,,,,,,,,4,,,,,,,,45,,,,47,,,,3,,,,1,,,,1,,,,4,,,,2,,,,1,,,,2,,,,621,,,,5121,,,
4,58,104131015,2,1,1,12,,"DZIMA",,,,,,,,,,4,,,,,,,,38,,,,40,,,,6,,,,4,,,,1,,,,4,,,,2,,,,1,,,,2,,,,621,,,,5220,,,
4,58,104132023,2,2,1,5,,,,,,,,,,,,3,,,,,,,,26,,,,27,,,,2,,,,4,,,,1,,,,4,,,,2,,,,2,,,,2,,,,,,,,4520,,,
4,59,104128060,4,4,2,,,,12,,"CHIARI",,,,,,,,4,,,2,,,,5,8,,,8,12,,,5,5,,,1,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,62,104118002,1,1,2,10,,,11,"HOHOE",,,,,,,,4,4,,,,,,,61,,,,48,,,,1,,,,6,,,,1,,,,4,,,,1,,,,1,,,,2,,,,724,,,,3120,,,
4,62,104118002,2,1,2,10,,,11,"HOHOE",,,,,,,,4,4,,,,,,,59,,,,46,,,,6,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,62,104118017,1,1,1,,,,,,,,,,,,,,,,,2,,,,18,,,,8,,,,5,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,62,104118021,1,1,1,11,"TEMA",,,,,,,,,,,3,,,,,,,,55,,,,56,,,,7,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,62,104118033,1,1,1,5,,,,,,,,,,,,3,,,,,,,,58,,,,62,,,,2,,,,4,,,,1,,,,4,,,,2,,,,6,,,,2,,,,832,,,,6021,,,
4,62,104118034,2,2,1,5,,,,,,,,,,,,3,,,,,,,,48,,,,25,,,,2,,,,4,,,,1,,,,2,,,,2,,,,6,,,,2,,,,411,,,,9500,,,
4,62,104118035,1,1,1,5,,,,,,,,,,,,3,,,,,,,,40,,,,35,,,,9,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,105147005,4,3,1,11,"KIBI",,,,,,,,,,,5,,,,,,,,24,,,,30,,,,6,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,105147005,2,1,1,11,"KIBI",,,,,,,,,,,5,,,,,,,,53,,,,59,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,105147005,3,3,1,11,"KIBI",,,,,,,,,,,5,,,,,,,,25,,,,31,,,,5,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,105147005,1,1,1,11,"KIBI",,,,,,,,,,,5,,,,,,,,62,,,,56,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,233,,,8010,8010,,
5,5,105147015,1,1,1,5,,,,,,,,,,,,3,,,,,,,,22,,,,24,,,,2,,,,4,,,,1,,,,4,,,,1,,,,1,,,,2,,,,512,,,,5220,,,
5,5,105147018,1,1,1,5,,,,,,,,,,,,3,,,,,,,,34,,,,27,,,,5,,,,1,,,,1,,,,4,,,,2,,,,3,,,,2,,,,913,,,,9500,,,
5,5,105147025,1,1,2,11,"SEHWI",,12,,"KPALEME",,,,,,,1,,,,,2,,,20,22,,,18,21,,,5,2,,,1,4,,,2,1,,,,2,,,,2,,,,1,,,,1,,,,932,,,,,,
5,5,105147077,1,1,1,5,,,,,,,,,,,,3,,,,,,,,40,,,,25,,,,6,,,,1,,,,1,,,,4,,,,6,,,,6,,,,2,,,,741,,,,5520,,,
5,7,105155001,2,1,4,12,,"KROKO SUE",11,"HALF ASINI",,10,,,12,,"KPEDZE",1,1,4,4,,,,,20,27,30,36,27,30,36,54,4,4,4,4,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
5,7,105155001,3,1,1,10,,,,,,,,,,,,4,,,,,,,,2,,,,20,,,,5,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,105155001,1,1,4,12,,"KROKO SUE",11,"HALF ASINI",,12,,"KPEDZE",10,,,1,1,4,4,,,,,30,37,40,46,37,40,46,64,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,7522,7522,7522,7522
5,7,105155002,1,1,2,4,,,12,"UPPER DEDE",,,,,,,,5,5,,,,,,,17,22,,,22,24,,,14,7,,,4,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,105155002,2,2,1,11,"AKUASE",,,,,,,,,,,5,,,,,,,,22,,,,30,,,,6,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,105155011,1,1,2,7,,,5,,,,,,,,,8,,,,,,,,38,42,,,42,48,,,2,2,,,4,4,,,1,1,,,2,2,,,2,2,,,12,,,,2,1,,,724,724,,,9309,9309,,
5,7,105155012,2,2,2,5,,,11,"AKYEM TAFO",,,,,,,,3,5,,,,,,,22,30,,,30,43,,,8,8,,,4,6,,,2,1,,,,4,,,,1,,,,12,,,,2,,,,911,,,,5252,,
5,7,105155012,1,1,2,5,,,11,"AKYEM TAFO",,,,,,,,3,5,,,,,,,24,37,,,37,50,,,8,8,,,4,6,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,105155014,1,1,1,5,,,,,,,,,,,,3,,,,,,,,20,,,,21,,,,7,,,,3,,,,1,,,,2,,,,2,,,,,,,,1,,,,911,,,,5211,,,
5,7,105155018,1,1,2,,,,11,"AYAMFRO",,,,,,,,,2,,,7,,,,22,42,,,37,48,,,2,6,,,6,3,,,1,1,,,4,4,,,6,1,,,0,6,,,2,2,,,921,921,,,113,113,,
