"id1","id2","id3","id4","hhmid","s10aii_a17","s10aii_a18","hhno"
1,2,7,7,1,6,8,101007007
1,2,7,10,1,7,5,101007010
1,2,7,10,2,5,2,101007010
1,2,7,11,1,5,2,101007011
1,2,7,14,1,5,3,101007014
1,2,7,14,2,3,3,101007014
1,2,7,19,1,6,2,101007019
1,2,7,19,2,7,6,101007019
1,2,7,19,3,3,2,101007019
1,2,7,25,1,3,1,101007025
1,2,7,25,6,2,1,101007025
1,2,7,26,1,4,2,101007026
1,2,7,26,2,5,3,101007026
1,2,7,26,3,4,2,101007026
1,2,7,28,1,4,2,101007028
1,2,7,33,1,5,3,101007033
1,2,7,33,2,3,2,101007033
1,2,7,33,5,5,4,101007033
1,2,7,36,1,2,2,101007036
1,2,7,36,4,1,3,101007036
1,2,7,36,5,6,2,101007036
1,2,7,40,1,3,5,101007040
1,2,7,68,2,4,2,101007068
1,2,7,82,1,6,3,101007082
1,2,7,82,2,5,2,101007082
1,2,25,2,1,6,4,101025002
1,2,25,2,2,6,4,101025002
1,2,25,2,3,5,4,101025002
1,2,25,3,1,6,4,101025003
1,2,25,3,2,4,4,101025003
1,2,25,3,3,5,3,101025003
1,2,25,6,1,5,3,101025006
1,2,25,6,2,4,3,101025006
1,2,25,6,3,4,3,101025006
1,2,25,12,1,6,3,101025012
1,2,25,12,2,6,3,101025012
1,2,25,13,1,4,3,101025013
1,2,25,13,2,4,3,101025013
1,2,25,33,1,5,2,101025033
1,2,25,33,2,5,2,101025033
1,2,25,33,3,5,2,101025033
1,2,25,37,1,5,3,101025037
1,2,25,37,2,5,3,101025037
1,2,25,37,3,5,3,101025037
1,2,25,43,1,4,3,101025043
1,2,25,43,2,4,3,101025043
1,2,25,43,3,4,3,101025043
1,2,25,44,1,5,4,101025044
1,2,25,50,1,4,3,101025050
1,2,25,50,2,4,3,101025050
1,2,25,50,3,4,3,101025050
1,2,25,51,1,4,2,101025051
1,2,25,51,2,3,2,101025051
1,2,25,54,1,5,4,101025054
1,2,25,54,2,5,4,101025054
1,2,25,54,4,5,4,101025054
1,2,25,97,1,5,3,101025097
1,2,25,97,2,5,3,101025097
1,2,25,97,4,4,3,101025097
1,2,25,100,1,4,3,101025100
1,2,25,100,2,4,3,101025100
1,2,25,101,1,4,3,101025101
1,2,25,101,2,4,3,101025101
1,2,25,101,3,4,3,101025101
1,2,26,4,1,4,2,101026004
1,2,26,4,2,2,1,101026004
1,2,26,6,1,3,2,101026006
1,2,26,6,2,2,1,101026006
1,2,26,8,1,2,1,101026008
1,2,26,8,2,2,1,101026008
1,2,26,10,1,2,1,101026010
1,2,26,17,1,2,1,101026017
1,2,26,19,1,3,1,101026019
1,2,26,19,2,2,1,101026019
1,2,26,23,1,4,2,101026023
1,2,26,23,2,3,1,101026023
1,2,26,23,6,2,2,101026023
1,2,26,24,1,2,1,101026024
1,2,26,24,2,1,1,101026024
1,2,26,26,1,4,2,101026026
1,2,26,26,2,2,2,101026026
1,2,26,26,3,1,1,101026026
1,2,26,29,1,3,2,101026029
1,2,26,30,1,2,1,101026030
1,2,26,39,1,2,1,101026039
1,2,26,40,1,2,1,101026040
1,2,26,40,2,2,1,101026040
1,2,26,40,3,1,1,101026040
1,2,26,42,1,3,1,101026042
1,2,26,42,2,3,1,101026042
1,2,26,43,1,2,1,101026043
1,2,26,43,2,2,1,101026043
1,2,28,8,1,10,5,101028008
1,2,28,9,1,4,1,101028009
1,2,28,10,1,5,1,101028010
1,2,28,10,2,5,1,101028010
1,2,28,15,1,1,1,101028015
1,2,28,15,2,1,1,101028015
1,2,28,18,1,1,1,101028018
1,2,28,21,1,1,1,101028021
1,2,28,21,2,1,1,101028021
1,2,28,21,3,1,1,101028021
1,2,28,26,2,1,1,101028026
1,2,28,26,3,1,1,101028026
1,2,28,26,4,1,1,101028026
1,2,28,28,1,2,2,101028028
1,2,28,28,2,2,2,101028028
1,2,28,31,1,5,2,101028031
1,2,28,32,1,3,1,101028032
1,2,28,34,1,5,2,101028034
1,2,28,34,2,5,1,101028034
1,2,28,34,3,1,1,101028034
1,2,28,35,1,9,5,101028035
1,2,28,35,2,9,5,101028035
1,2,28,35,3,10,5,101028035
1,2,28,41,1,10,8,101028041
1,2,28,41,2,10,5,101028041
1,2,28,41,3,10,5,101028041
1,2,28,43,1,1,1,101028043
1,2,28,44,1,4,1,101028044
1,2,28,44,2,2,1,101028044
1,5,4,1,1,8,2,101004001
