"id1","id2","id3","id4","hhmid","s1d_1","s1d_2","sid_3i","s1d_3ii","s1d_3iii","s1d_4i","s1d_4ii","s1d_5","s1d_6","s1d_7","s1d_8","s1d_9","s1d_10ai","s1d_10aii","s1d_10bi","s1d_10bii","s1d_11","s1d_12i","s1d_12ii","s1d_13","s1d_14","s1d_15","s1d_16","s1d_17i","s1d_17ii","s1d_18","s1d_19","s1d_20i","s1d_20ii","s1d_21","s1d_22","s1d_23","s1d_24","s1d_25","s1d_26","s1d_27","s1d_28","s1d_29","s1d_30","s1d_31","s1d_32","s1d_33","hhno"
1,6,1,29,1,1,1,,,1971,38,,2,1,1,2,35,30,,0,,2009,30,,10,1,1,7,3,,1,6,2,,1,6,1,,1,,0,,,,,,,101001029
1,6,1,29,2,2,2,,,1982,27,,2,1,1,1,26,0,,0,,2007,0,,7,1,1,14,2,,1,6,3,,1,6,1,,1,,0,,,,,,,101001029
1,6,1,29,3,1,3,22,7,2006,3,0,1,,,,,,,,,,,,7,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001029
1,6,1,29,4,1,3,16,9,2009,0,3,1,,,,,,,,,,,,7,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001029
1,6,1,34,1,1,1,27,6,1970,39,,2,1,1,,22,2,50,0,,1990,320,,7,1,1,7,2,,3,6,1,3,,,1,,1,,0,,,,,,,101001034
1,6,1,34,2,2,2,14,4,1978,31,,2,1,1,,16,0,,12,,1990,,,7,1,1,7,2,,3,5,3,,3,6,1,,1,,0,,,,,,,101001034
1,6,1,34,3,2,5,,,1944,65,,2,5,,,26,,,,,1970,,,1,1,1,7,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101001034
1,6,1,34,4,1,3,13,6,1992,17,,2,6,,,,,,,,,,,7,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001034
1,6,1,34,5,2,3,14,2,1999,10,,1,,,,,,,,,,,,7,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001034
1,6,1,34,6,1,3,21,9,2001,8,,1,,,,,,,,,,,,7,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001034
1,6,1,34,7,2,3,17,3,2004,5,0,1,,,,,,,,,,,,7,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101001034
1,6,1,34,8,2,8,16,5,1996,13,,2,6,,,,,,,,,,,7,1,1,7,2,,2,6,2,,2,6,1,,1,,0,,,,,,,101001034
1,6,1,35,1,1,1,15,10,1967,42,,2,1,1,2,28,80,,0,,1999,10,,5,1,1,7,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101001035
