"id1","id2","id3","id4","s9d_id","s9d_i","s9d_ii","s9d_1","s9d_2","s9d_3","s9d_4","s9d_5","s9d_6","s9d_7","s9d_8","s9d_iii","s9d_iv","hhno"
1,2,5,36,6,3,20,"D","C","B","C","D","B","B","C",3,25,101005036
1,2,5,40,2,3,5,"D","C","B","C","D","B","B","B",3,8,101005040
1,2,5,40,3,3,9,"D","A","B","A","C","D","B","C",3,12,101005040
1,2,5,41,2,3,35,"D","C","B","C","D","C","B","C",3,39,101005041
1,2,5,51,4,18,8,"A","B","C","B","B","B","C","C",18,10,101005051
1,2,5,51,3,18,6,"D","C","B","C","D","D","B","C",18,8,101005051
1,2,5,52,5,2,15,"B","C","B","C",,,,,2,19,101005052
1,2,5,52,3,1,30,"B","B","B","B","D","B","C","B",1,35,101005052
1,2,5,52,4,1,48,"D","A","B","B","B","C","B","C",2,3,101005052
1,2,6,9,1,6,40,"D","C","B","C","D","B","B","C",6,45,101006009
1,2,6,15,4,16,11,"D","C","B","C","D","B","B","A",16,20,101006015
1,2,6,15,3,16,3,"D","C","B","C","D","B","B","C",16,10,101006015
1,2,6,23,4,16,9,"D","C","B","C","D","B","B","C",16,18,101006023
1,2,6,23,3,,,,,,,,,,,,,101006023
1,2,6,23,5,16,20,"D","C","B","C","D","B","C","A",16,30,101006023
1,2,6,23,6,16,35,"D","B","A","C","D","C","A","B",16,50,101006023
1,2,6,56,2,14,30,"D","C","B",,"B","B","C","A",14,38,101006056
1,2,6,56,3,15,0,"D","C","A","B","D","B","D","C",15,10,101006056
1,2,6,59,1,8,10,"D","C","B","C","D","B","B","C",8,14,101006059
1,2,6,59,2,8,15,"D","C","B","C","D","B","A","C",8,22,101006059
1,2,7,4,3,11,20,"D","C","B","C","B","A","B","D",11,29,101007004
1,2,7,4,6,11,12,"D","C","B","C","B","A","B","C",11,17,101007004
1,2,7,7,1,14,31,"D","C","B","C","D","B","B","C",14,51,101007007
1,2,7,19,3,4,2,"D","C","B","C","D","D","B","D",4,11,101007019
1,2,7,19,4,4,12,"D","C","B","C","D","D","B","D",4,22,101007019
1,2,7,19,5,4,24,"D","C","B","B","D","C","C","B",4,32,101007019
1,2,7,26,5,2,10,"D","C","B","B","D","D","A","C",2,13,101007026
1,2,7,26,4,3,35,"D","C","B","C","D","B","B","C",3,37,101007026
1,2,7,33,4,9,23,"D","C","B","C","D","D","B","A",9,25,101007033
1,2,7,33,5,8,4,"D","C","B","C","D","C","B","A",8,7,101007033
1,2,7,33,3,7,55,"D","A","A","C","C","C","B","D",7,57,101007033
1,2,7,36,4,3,35,"D","C","B","C","C","B","B","D",3,41,101007036
1,2,7,36,5,3,46,"D","C","B","C","D","B","B","C",3,48,101007036
1,2,7,36,6,3,52,"D","C","B","B","D","D","B","C",3,54,101007036
1,2,7,36,7,3,58,"D","C","B","D","D","D","B","C",4,1,101007036
1,2,7,68,4,9,39,"D","C","B","C","D","C","A","A",9,48,101007068
1,2,7,68,2,9,27,"D","C","C","B","D","D","B","B",9,37,101007068
1,2,7,82,2,2,13,"D","C","A","B","C","D","C","D",2,22,101007082
1,2,25,2,4,1,54,"D","C","B","C","D","B","B","C",1,57,101025002
1,2,25,2,5,1,58,"D","C","B","C","D","B","A","D",2,1,101025002
1,2,25,2,3,1,50,"D","C","B","C","D","D","B","C",1,53,101025002
1,2,25,3,3,2,10,"A","C","D","A","B","C","C","D",2,14,101025003
1,2,25,3,4,2,15,"A","D","C","C","D","B","B","C",2,17,101025003
1,2,25,3,5,2,18,"C","C","D","C","B","D","B","C",2,21,101025003
1,2,25,6,3,8,30,"D","C","B","C","D","B","B","C",8,33,101025006
1,2,25,6,4,8,33,"D","C","B","C","D","D","B","D",8,35,101025006
1,2,25,6,5,8,35,"D","C","B","C","B","D","B","D",8,38,101025006
1,2,25,13,1,12,0,"C","C","B","C","D","B","B","C",12,3,101025013
1,2,25,13,2,12,3,"C","C","B","C","D","D","B","D",12,5,101025013
1,2,25,33,3,8,5,"D","C","B","C","D","D","B","D",8,10,101025033
1,2,25,37,4,2,35,"D","C","B","C","C","C","C","D",2,37,101025037
1,2,25,37,3,2,30,"D","C","B","A","D","B","B","D",2,32,101025037
1,2,25,43,3,13,40,"C","C","A","C","D","D","B","D",13,43,101025043
