"id1","id2","id3","id4","hhmid","s9a_iii","s9a_01","s9a_02","s9a_03","s9a_a1","s9a_a2","s9a_a3","s9a_a4","s9a_a5","s9a_a6","s9a_a7","s9a_a8","s9a_a9","s9a_a10","s9a_a11","s9a_a12","s9a_a13","s9a_a14i","s9a_a14ii","hhno"
1,13,10,132,4,1,1,,,1,87,6,6,7,2,2,1,,,1,12,2,,,101010132
1,13,10,150,4,1,1,,,2,14,6,6,6,2,2,3,,,2,,,,,101010150
1,13,10,176,2,1,1,,,1,87,87,87,87,2,2,1,,,1,6,2,,,101010176
1,13,11,31,4,1,1,,,1,12,4,3,10,2,2,1,,,1,4,2,,,101011031
1,13,11,44,3,1,1,,,2,,1,1,6,2,2,3,,,2,,,,,101011044
1,13,11,44,4,1,1,,,2,,1,1,6,2,2,3,,,2,,,,,101011044
1,13,11,172,2,1,1,,,1,12,1,1,6,2,2,1,,,1,1,1,50,,101011172
1,13,12,13,5,3,1,,,1,9,6,6,6,2,2,1,0,0,1,4,2,,,101012013
1,13,12,17,5,1,1,,,1,9,6,6,6,2,2,3,0,0,1,7,2,,,101012017
1,13,12,22,2,1,1,,,1,9,6,6,6,2,2,3,0,0,2,,,,,101012022
1,13,12,85,3,2,1,,,1,16,6,6,6,2,2,3,0,1,2,,,,,101012085
1,13,12,85,4,2,1,,,1,16,6,6,6,2,2,3,0,1,2,,,,,101012085
1,8,13,20,5,3,1,,,1,87,6,87,87,2,2,1,0,0,1,3,1,6,,101013020
1,8,13,32,4,2,1,,,1,24,1,1,24,2,2,1,0,1,1,12,1,,20,101013032
1,8,13,36,6,2,1,,,1,24,6,6,12,2,2,1,0,0,2,,2,,,101013036
1,8,13,36,7,3,1,,,1,24,6,6,12,2,2,1,0,0,1,12,1,1,,101013036
1,8,13,48,4,2,1,,,1,12,6,6,6,2,2,3,5,0,2,,,,,101013048
1,8,13,48,5,2,1,,,1,24,6,6,6,2,2,1,5,0,1,12,1,,50,101013048
1,8,13,66,3,1,1,,,1,18,6,6,6,2,2,3,0,1,2,,,,,101013066
1,8,13,87,5,3,1,,,1,87,4,4,4,2,2,1,1,0,1,12,1,4,50,101013087
1,8,14,11,3,2,1,,,1,24,6,9,12,2,2,1,0,0,1,3,2,,,101014011
1,8,14,22,5,2,1,,,1,24,7,7,9,2,2,1,0,0,2,,,,,101014022
1,8,14,33,3,2,1,,,1,87,6,8,9,2,2,1,0,0,1,9,1,,20,101014033
1,8,14,57,8,2,1,,,1,24,1,5,5,2,2,3,0,1,1,3,2,,,101014057
1,8,14,69,3,2,1,,,1,87,2,6,6,2,2,1,0,0,1,6,1,,40,101014069
1,8,14,82,6,2,1,,,1,24,4,4,4,2,2,3,0,6,2,,,,,101014082
1,8,14,118,3,2,2,,11,1,87,1,1,5,2,2,1,0,0,1,11,2,,,101014118
1,8,14,129,3,2,1,,,1,24,6,6,8,2,2,1,0,0,1,6,1,,20,101014129
1,8,15,65,8,2,1,,,1,16,1,1,12,2,2,1,,,2,,,,,101015065
1,8,15,90,4,2,1,,,1,24,3,3,12,2,2,3,1,,2,,,,,101015090
1,8,15,151,4,2,1,,,1,14,3,3,14,2,2,4,,,2,,,,,101015151
1,8,15,151,5,2,1,,,1,87,1,2,8,2,2,1,,,1,5,1,2,50,101015151
1,8,16,1,5,2,1,,,1,87,1,2,3,2,2,1,0,0,1,2,1,5,,101016001
1,8,16,41,4,2,1,,,1,18,3,5,10,2,2,3,3,0,1,1,2,,,101016041
1,8,16,51,2,1,1,,,1,24,3,6,24,2,2,1,0,0,2,,,,,101016051
1,8,16,51,3,1,1,,,1,87,3,12,20,2,2,1,0,0,1,4,2,,,101016051
1,8,16,111,5,1,1,,,1,18,3,8,10,2,2,3,7,7,1,4,2,,,101016111
1,8,16,111,6,2,2,,9,1,87,6,6,87,2,2,1,0,0,1,4,2,,,101016111
1,8,16,137,3,1,1,,,1,2,3,2,5,2,2,5,3,0,1,2,2,,,101016137
1,8,16,144,5,2,1,,,1,24,1,1,4,2,2,5,0,0,2,,,,,101016144
1,8,16,145,2,1,1,,,1,87,5,3,8,2,2,1,3,0,1,7,1,,20,101016145
1,8,16,152,2,1,1,,,1,9,2,3,5,2,2,3,0,0,2,,,,,101016152
1,8,16,154,3,2,1,,,1,26,1,1,3,2,2,3,0,0,1,12,2,,,101016154
1,8,16,163,3,1,1,,,1,24,1,2,6,2,2,3,0,0,1,3,2,,,101016163
1,10,17,4,5,2,1,,,1,18,3,3,6,2,2,3,,,2,,,,,101017004
1,10,17,11,5,1,1,,,1,24,3,3,3,2,2,1,2,,1,8,1,,70,101017011
1,10,17,11,6,1,1,,,1,87,3,3,3,2,2,1,,,1,3,2,,,101017011
1,10,17,27,6,2,1,,,1,24,1,4,4,2,2,1,,2,2,,,,,101017027
1,10,17,27,7,2,1,,,1,87,1,4,4,2,2,1,2,,1,7,1,,,101017027
1,10,17,31,3,2,1,,,1,5,1,1,12,2,2,1,,,1,12,2,,,101017031
