"id1","id2","id3","id4","otrans_no","s3biii_26","s3biii_27ii","s3biii_28","s3biii_29","s3biii_31ii","s3biii_32","s3biii_33","s3biii_33_1","s3biii_33_2","s3biii_33_3","s3biii_33_4","s3biii_33_5","s3biii_34i","s3biii_34ii","s3biii_35i","s3biii_35ii","s3biii_36i","s3biii_36ii","s3biii_37","hhno"
1,13,10,95,1,1,-8,2,,,2,"1,5",1,5,,,,180,0,80,0,100,0,3,101010095
1,13,10,113,1,1,,1,10,-8,1,"1,5",1,5,,,,300,0,100,0,150,0,3,101010113
1,13,10,113,2,1,,1,11,-8,1,"1,5",1,5,,,,300,0,100,0,150,0,3,101010113
1,13,10,132,1,1,-8,1,1,,5,"1",1,,,,,16,0,16,0,12,0,3,101010132
1,13,10,132,2,1,-8,1,2,,5,"1",1,,,,,300,0,16,0,0,0,3,101010132
1,13,10,150,1,1,,1,4,-8,1,"6",6,,,,,300,0,50,0,0,0,3,101010150
1,13,10,163,3,1,-8,1,6,-8,1,"1,5",1,5,,,,35,0,25,0,0,0,3,101010163
1,13,10,163,1,1,-8,1,4,-8,5,"1,5",1,5,,,,20,0,15,0,25,0,3,101010163
1,13,10,163,2,1,-8,1,5,-8,5,"1,5",1,5,,,,30,0,10,0,15,0,3,101010163
1,13,10,164,2,1,-8,1,6,-8,5,"1",1,,,,,60,0,0,0,0,0,3,101010164
1,13,10,164,1,1,-8,1,5,-8,5,"1",1,,,,,100,0,0,0,0,0,3,101010164
1,13,10,175,1,1,-8,1,5,-8,1,"1",1,,,,,300,0,80,0,60,0,3,101010175
1,13,11,48,1,1,,1,1,,5,"1,3",1,3,,,,250,0,0,0,0,0,4,101011048
1,13,11,48,2,1,,1,2,,2,"1,3",1,3,,,,500,0,0,0,0,0,1,101011048
1,13,11,50,2,1,-8,1,2,,3,"5",5,,,,,1350,0,0,0,0,0,4,101011050
1,13,11,50,1,1,-8,1,1,,2,"1,5",1,5,,,,1800,0,0,0,0,0,4,101011050
1,13,11,58,1,1,-8,1,7,,2,"1,5",1,5,,,,1200,0,0,0,0,0,1,101011058
1,13,11,85,1,1,,1,5,,5,"1",1,,,,,100,0,200,0,0,0,3,101011085
1,13,11,146,1,1,-8,1,3,,5,"1,6",1,6,,,,300,0,0,0,0,0,3,101011146
1,13,12,7,1,1,,1,1,,3,"1,5",1,5,,,,600,0,400,0,200,0,1,101012007
1,13,12,7,2,2,,1,2,,3,"1,5,6",1,5,6,,,600,0,400,0,150,0,1,101012007
1,13,12,14,1,1,,1,2,,3,"1,4,6",1,4,6,,,500,0,0,0,0,0,4,101012014
1,13,12,17,1,1,,1,2,,2,"1,2,5",1,2,5,,,2500,0,500,0,500,0,1,101012017
1,13,12,36,1,1,,1,4,,5,"1,3,4",1,3,4,,,200,0,0,0,0,0,3,101012036
1,13,12,39,1,1,,1,1,,3,"1,5,6",1,5,6,,,400,0,140,0,120,0,4,101012039
1,13,12,50,1,1,,1,88,,3,"1,5",1,5,,,,200,0,0,0,0,0,4,101012050
1,13,12,51,1,1,,1,5,,3,"1,5",1,5,,,,0,0,0,0,1200,0,3,101012051
1,13,12,55,1,1,,1,3,,2,"1,5,6",1,5,6,,,3000,0,0,0,50,0,1,101012055
1,13,12,85,1,1,,1,2,,2,"1,6,8",1,6,8,,,1200,0,0,0,100,0,2,101012085
1,13,12,85,2,2,,1,6,,2,"1,3,6",1,3,6,,,600,0,80,0,100,0,3,101012085
1,13,12,94,1,1,,1,88,,2,"1,5,6",1,5,6,,,100,0,100,0,200,0,3,101012094
1,8,13,6,1,1,,1,88,,2,"1,4,6",1,4,6,,,480,0,0,0,0,0,3,101013006
1,8,13,8,1,1,,1,2,,5,"1",1,,,,,0,0,36,0,0,0,3,101013008
1,8,13,15,1,1,,1,88,,2,"1,5,6",1,5,6,,,240,0,50,0,40,0,2,101013015
1,8,13,19,1,1,,1,3,,3,"1,4,6",1,4,6,,,30,0,0,0,50,0,4,101013019
1,8,13,20,1,1,,1,5,,5,"1,6,8",1,6,8,,,30,0,0,0,0,0,3,101013020
1,8,13,28,1,1,,1,2,,2,"1,6,8",1,6,8,,,240,0,40,0,0,0,3,101013028
1,8,13,30,1,1,,1,88,,5,"1,4,6",1,4,6,,,20,0,0,0,50,0,3,101013030
1,8,13,32,1,1,,1,2,,5,"1",1,,,,,0,0,90,0,0,0,3,101013032
1,8,13,36,1,1,,1,3,,5,"1,5,6",1,5,6,,,30,0,0,0,5,0,4,101013036
1,8,13,36,2,2,,1,12,,5,"1,3,4",1,3,4,,,120,0,0,0,0,0,4,101013036
1,8,13,48,2,1,,1,9,,5,"1,5,6",1,5,6,,,30,0,10,0,0,0,3,101013048
1,8,13,48,1,1,,1,6,,3,"1,5,6",1,5,6,,,90,0,0,0,0,0,4,101013048
1,8,13,67,1,1,,1,7,,5,"1,5,6",1,5,6,,,400,0,50,0,0,0,2,101013067
1,8,13,95,1,1,,1,5,,2,"4,5,6",4,5,6,,,600,0,40,0,50,0,3,101013095
1,8,13,103,1,1,,1,4,,2,"1,5,6",1,5,6,,,240,0,0,0,20,0,3,101013103
1,8,14,11,1,1,-8,1,2,-8,3,"1",1,,,,,120,0,0,0,0,0,4,101014011
1,8,14,11,2,2,-8,1,13,-8,5,"1",1,,,,,0,0,20,0,0,0,4,101014011
1,8,14,15,1,1,-8,1,1,,5,"1,5",1,5,,,,200,0,60,0,0,0,5,101014015
1,8,14,15,2,2,-8,1,2,,5,"1",1,,,,,60,0,40,0,0,0,4,101014015
1,8,14,22,1,1,,1,3,-8,2,"1,3",1,3,,,,600,0,0,0,0,0,3,101014022
1,8,14,22,2,1,,1,1,-8,2,"1,5",1,5,,,,600,0,0,0,0,0,3,101014022
1,8,14,22,3,2,,1,8,-8,5,"1",1,,,,,360,0,500,0,300,0,3,101014022
1,8,14,41,1,1,,1,10,,4,"10",10,,,,,0,0,0,0,0,0,4,101014041
1,8,14,46,1,1,-8,1,1,,1,"1",1,,,,,0,0,720,0,0,0,4,101014046
1,8,14,57,1,1,,1,2,,2,"1,2,6",1,2,6,,,120,0,60,0,0,0,4,101014057
1,8,14,57,2,2,,1,10,,2,"1,6,9",1,6,9,,,140,0,0,0,0,0,4,101014057
1,8,14,69,1,1,,1,1,,2,"1,5,6",1,5,6,,,1200,0,120,0,100,0,4,101014069
1,8,14,82,1,1,,2,88,,5,"1,4,6",1,4,6,,,50,0,0,0,0,0,4,101014082
1,8,14,118,1,2,,1,7,-8,5,"1,5",1,5,,,,30,0,0,0,0,0,3,101014118
1,8,14,129,1,1,-8,1,3,,5,"1",1,,,,,20,0,0,0,0,0,3,101014129
1,8,15,6,1,1,,1,2,-8,5,"1,5",1,5,,,,250,0,0,0,0,0,3,101015006
1,8,15,49,1,1,,1,3,-8,5,"1",1,,,,,0,0,10,0,0,0,3,101015049
1,8,15,64,3,1,,1,5,-8,5,"1",1,,,,,100,0,0,0,0,0,3,101015064
1,8,15,64,2,1,,1,88,-8,5,"1",1,,,,,0,0,150,0,0,0,3,101015064
1,8,15,64,1,2,,2,,-8,5,"1",1,,,,,0,0,240,0,0,0,4,101015064
1,8,15,90,1,1,,1,2,-8,3,"1",1,,,,,120,0,0,0,26,0,3,101015090
1,8,15,119,2,1,,1,8,,5,"1",1,,,,,30,0,0,0,0,0,3,101015119
1,8,15,119,1,1,,1,14,,5,"1",1,,,,,80,0,0,0,0,0,3,101015119
1,8,15,120,1,1,,1,88,-8,5,"1,5",1,5,,,,120,0,0,0,0,0,4,101015120
1,8,15,151,1,1,,1,88,,4,"1,10",1,10,,,,50,0,0,0,0,0,3,101015151
1,8,15,188,1,1,,1,88,,5,"1",1,,,,,32,0,35,0,0,0,4,101015188
1,8,15,191,1,1,,1,3,-8,2,"1,5",1,5,,,,120,0,0,0,0,0,3,101015191
1,8,16,23,1,1,-8,1,88,-8,2,"1",1,,,,,0,0,150,0,0,0,4,101016023
1,8,16,23,2,2,-8,1,88,-8,5,"1",1,,,,,0,0,100,0,0,0,4,101016023
1,8,16,41,1,2,,1,8,-8,5,"1",1,,,,,20,0,20,0,0,0,3,101016041
1,8,16,51,1,1,,1,2,-8,2,"1",1,,,,,120,0,0,0,0,0,4,101016051
1,8,16,144,1,1,,1,1,-8,2,"1",1,,,,,180,0,60,0,25,0,3,101016144
1,8,16,144,2,1,,1,10,-8,2,"1",1,,,,,240,0,60,0,30,0,5,101016144
1,8,16,149,1,1,1,2,,-8,5,"1",1,,,,,0,0,10,0,0,0,3,101016149
1,8,16,154,1,1,,2,,-8,3,"1",1,,,,,0,0,200,0,0,0,3,101016154
1,8,16,154,2,1,,2,,-8,3,"1",1,,,,,0,0,200,0,0,0,3,101016154
1,8,16,163,2,1,,1,3,-8,2,"1",1,,,,,0,0,60,0,0,0,3,101016163
1,8,16,163,1,1,,1,1,-8,2,"1",1,,,,,120,0,0,0,0,0,3,101016163
1,10,17,4,4,1,,1,9,,2,"1,5",1,5,,,,300,0,10,0,20,0,4,101017004
1,10,17,4,1,1,,1,5,,2,"3",3,,,,,500,0,18,0,0,0,4,101017004
1,10,17,4,3,1,,1,8,,2,"1,3",1,3,,,,250,0,25,0,35,0,4,101017004
1,10,17,4,5,1,,1,4,,5,"1,3",1,3,,,,0,0,150,0,100,0,4,101017004
1,10,17,4,2,1,,1,6,,2,"1,5",1,5,,,,400,0,15,0,28,0,4,101017004
1,10,17,11,3,1,,1,5,,5,"1",1,,,,,10,0,0,0,0,0,3,101017011
1,10,17,11,2,1,,1,2,,5,"1",1,,,,,10,0,0,0,0,0,3,101017011
1,10,17,11,1,1,,1,3,,5,"1",1,,,,,15,0,0,0,0,0,3,101017011
1,10,17,21,1,1,,2,,,5,"1,6",1,6,,,,400,0,0,0,0,0,3,101017021
1,10,17,22,1,1,,1,3,,5,"3",3,,,,,100,0,0,0,0,0,8,101017022
1,10,17,22,3,1,,1,6,,3,"1,5",1,5,,,,450,0,0,0,0,0,8,101017022
1,10,17,22,2,1,,1,4,,2,"1,3",1,3,,,,200,0,0,0,0,0,8,101017022
1,10,17,22,4,1,,1,5,,8,"1",1,,,,,100,0,0,0,100,0,4,101017022
1,10,17,27,1,1,,1,3,,8,"1,5",1,5,,,,600,0,25,0,16,0,3,101017027
1,10,17,27,3,1,,1,5,,2,"1",1,,,,,180,0,130,0,15,0,3,101017027
1,10,17,27,2,1,,1,4,,8,"1,5",1,5,,,,600,0,25,0,18,0,3,101017027
1,10,17,31,1,1,,1,6,,3,"1,5",1,5,,,,200,0,0,0,20,0,3,101017031
1,10,17,36,1,1,,1,3,,3,"1",1,,,,,120,0,0,0,30,0,4,101017036
1,10,17,51,1,2,,1,8,,5,"1",1,,,,,80,0,0,0,0,0,3,101017051
1,10,17,56,1,1,,1,2,,5,"1",1,,,,,30,0,0,0,0,0,4,101017056
1,10,17,57,1,1,,1,1,,2,"1,5",1,5,,,,20,0,15,0,0,0,3,101017057
1,10,18,27,2,1,,1,2,,2,"1,5",1,5,,,,180,0,0,0,20,0,3,101018027
1,10,18,27,1,1,,1,1,,2,"1,5",1,5,,,,240,0,0,0,25,0,3,101018027
1,10,18,27,3,1,,1,3,,2,"1,5",1,5,,,,200,0,0,0,20,0,3,101018027
1,10,18,28,4,1,,1,1,,2,"1,5",1,5,,,,70,0,20,0,20,0,3,101018028
1,10,18,28,1,1,,1,2,,2,"1",1,,,,,50,0,10,0,0,0,3,101018028
1,10,18,28,2,1,,1,3,,2,"1",1,,,,,50,0,15,0,0,0,3,101018028
1,10,18,28,3,1,,1,9,,2,"1",1,,,,,70,0,15,0,0,0,3,101018028
1,10,18,30,1,1,,1,1,,2,"1",1,,,,,120,0,10,0,0,0,3,101018030
1,10,18,30,2,1,,1,2,,2,"1",1,,,,,100,0,15,0,0,0,3,101018030
1,10,18,33,1,1,2,,,,3,"1,5",1,5,,,,200,0,50,0,0,0,2,101018033
1,10,19,3,1,1,,1,6,-8,5,"1,6,8",1,6,8,,,80,0,0,0,0,0,3,101019003
1,10,19,3,2,1,,1,88,-8,1,"1,5,6",1,5,6,,,750,0,250,0,100,0,3,101019003
1,10,19,4,1,1,3,,,-8,2,"1,5,6",1,5,6,,,450,0,40,0,0,0,4,101019004
1,10,19,5,1,1,2,1,1,,2,"1,5",1,5,,,,120,0,70,0,0,0,3,101019005
1,10,19,11,1,1,,1,2,,3,"1",1,,,,,200,0,0,0,0,0,2,101019011
1,10,19,12,1,1,,1,1,-8,5,"1,5,6",1,5,6,,,50,0,0,0,0,0,3,101019012
1,10,19,13,1,1,,1,88,-8,2,"1,6,8",1,6,8,,,360,0,0,0,0,0,2,101019013
1,10,19,16,1,1,,1,88,-8,3,"1",1,,,,,175,0,0,0,0,0,4,101019016
1,10,19,19,1,1,,1,1,-8,5,"1",1,,,,,120,0,0,0,0,0,3,101019019
1,10,19,19,3,1,,1,3,-8,5,"1,5",1,5,,,,240,0,0,0,0,0,3,101019019
1,10,19,19,2,1,,1,2,-8,5,"1,5",1,5,,,,240,0,0,0,0,0,3,101019019
1,10,20,2,1,1,,1,6,,2,"1,5",1,5,,,,800,0,0,0,50,0,4,101020002
1,10,20,14,1,1,,1,88,,2,"1,6",1,6,,,,720,0,20,0,40,0,3,101020014
1,10,20,16,1,1,,1,1,,3,"1,5",1,5,,,,50,0,10,0,20,0,3,101020016
1,10,20,18,2,1,,2,,,2,"1,5",1,5,,,,120,0,270,0,35,0,3,101020018
1,10,20,18,1,2,,2,,,2,"1,5",1,5,,,,1200,0,40,0,25,0,3,101020018
1,10,20,21,1,1,,2,,,2,"5",5,,,,,400,0,0,0,0,0,3,101020021
1,10,20,24,2,1,,1,2,,3,"1,5",1,5,,,,40,0,0,0,0,0,3,101020024
1,10,20,24,1,1,,1,1,,3,"1,5",1,5,,,,50,0,0,0,0,0,3,101020024
1,10,20,25,1,1,,1,1,,1,"1,5",1,5,,,,740,0,20,0,30,0,3,101020025
1,10,20,26,2,1,,2,,,2,"1,5",1,5,,,,500,0,100,0,0,0,3,101020026
1,10,20,26,3,1,,2,,,2,"1,5",1,5,,,,50,0,40,0,0,0,3,101020026
1,10,20,26,1,1,,2,,,2,"1,5",1,5,,,,40,0,100,0,20,0,3,101020026
1,10,20,35,2,1,,1,2,,2,"1,6",1,6,,,,80,0,20,0,0,0,3,101020035
1,10,20,35,3,1,,1,88,,2,"1",1,,,,,1000,0,30,0,0,0,3,101020035
1,10,20,35,1,1,,1,1,,2,"1,6",1,6,,,,120,0,30,0,0,0,3,101020035
1,10,20,37,1,1,,1,1,,8,"1,5",1,5,,,,150,0,0,0,40,0,3,101020037
1,10,20,43,1,1,,2,,,2,"1",1,,,,,50,0,200,0,0,0,3,101020043
1,10,21,26,1,1,,1,1,,2,"1,5",1,5,,,,120,0,40,0,0,0,3,101021026
1,10,21,34,1,1,,1,8,-8,5,"1,5,6",1,5,6,,,40,0,0,0,0,0,3,101021034
