"id1","id2","id3","id4","s10c_0","hhno"
1,8,14,33,1,101014033
1,8,14,36,1,101014036
1,8,14,41,1,101014041
1,8,14,46,1,101014046
1,8,14,57,1,101014057
1,8,14,61,1,101014061
1,8,14,65,1,101014065
1,8,14,69,1,101014069
1,8,14,82,1,101014082
1,8,14,113,1,101014113
1,8,14,118,1,101014118
1,8,14,129,1,101014129
1,8,15,6,1,101015006
1,8,15,9,1,101015009
1,8,15,34,1,101015034
1,8,15,49,1,101015049
1,8,15,55,1,101015055
1,8,15,64,1,101015064
1,8,15,65,1,101015065
1,8,15,90,1,101015090
1,8,15,119,1,101015119
1,8,15,120,1,101015120
1,8,15,149,1,101015149
1,8,15,151,1,101015151
1,8,15,188,1,101015188
1,8,15,191,1,101015191
1,8,15,194,1,101015194
1,8,16,1,1,101016001
1,8,16,23,1,101016023
1,8,16,41,1,101016041
1,8,16,51,1,101016051
1,8,16,53,1,101016053
1,8,16,107,1,101016107
1,8,16,111,1,101016111
1,8,16,137,1,101016137
1,8,16,144,1,101016144
1,8,16,145,1,101016145
1,8,16,149,1,101016149
1,8,16,152,1,101016152
1,8,16,154,1,101016154
1,8,16,163,1,101016163
1,8,16,217,1,101016217
1,10,17,2,1,101017002
1,10,17,4,1,101017004
1,10,17,11,1,101017011
1,10,17,19,1,101017019
1,10,17,20,1,101017020
1,10,17,21,1,101017021
1,10,17,22,1,101017022
1,10,17,27,1,101017027
1,10,17,29,1,101017029
1,10,17,31,1,101017031
1,10,17,36,1,101017036
1,10,17,49,1,101017049
1,10,17,51,1,101017051
1,10,17,56,1,101017056
1,10,17,57,1,101017057
1,10,18,2,1,101018002
1,10,18,11,1,101018011
1,10,18,14,1,101018014
1,10,18,18,1,101018018
1,10,18,19,1,101018019
1,10,18,26,1,101018026
1,10,18,27,1,101018027
1,10,18,28,1,101018028
1,10,18,30,1,101018030
1,10,18,33,1,101018033
1,10,18,34,1,101018034
1,10,18,41,1,101018041
1,10,18,43,1,101018043
1,10,18,58,1,101018058
1,10,18,59,1,101018059
1,10,19,3,1,101019003
1,10,19,4,1,101019004
1,10,19,5,1,101019005
1,10,19,6,1,101019006
1,10,19,8,1,101019008
1,10,19,9,1,101019009
1,10,19,10,1,101019010
1,10,19,11,1,101019011
1,10,19,12,1,101019012
1,10,19,13,1,101019013
1,10,19,14,1,101019014
1,10,19,16,1,101019016
1,10,19,17,1,101019017
1,10,19,19,1,101019019
1,10,19,20,1,101019020
1,10,20,2,1,101020002
1,10,20,4,1,101020004
1,10,20,6,1,101020006
1,10,20,10,1,101020010
1,10,20,14,1,101020014
1,10,20,16,1,101020016
1,10,20,18,1,101020018
1,10,20,21,1,101020021
1,10,20,24,1,101020024
1,10,20,25,1,101020025
1,10,20,26,1,101020026
1,10,20,27,1,101020027
1,10,20,35,1,101020035
1,10,20,37,1,101020037
1,10,20,43,1,101020043
1,10,21,1,1,101021001
1,10,21,7,1,101021007
1,10,21,11,1,101021011
1,10,21,26,1,101021026
1,10,21,30,1,101021030
1,10,21,34,1,101021034
1,10,21,45,1,101021045
1,10,21,51,1,101021051
1,10,21,54,1,101021054
1,10,21,58,1,101021058
1,10,21,62,1,101021062
1,10,21,63,1,101021063
1,10,21,67,1,101021067
1,10,21,68,1,101021068
1,10,21,69,1,101021069
1,10,27,4,1,101027004
1,10,27,9,1,101027009
1,10,27,10,1,101027010
1,10,27,11,1,101027011
1,10,27,13,1,101027013
1,10,27,20,1,101027020
1,10,27,23,1,101027023
1,10,27,31,1,101027031
1,10,27,32,1,101027032
1,10,27,36,1,101027036
1,10,27,40,1,101027040
1,10,27,41,1,101027041
1,10,27,42,1,101027042
1,10,27,46,1,101027046
1,10,27,60,1,101027060
1,12,29,2,1,101029002
1,12,29,4,1,101029004
1,12,29,6,1,101029006
1,12,29,8,1,101029008
1,12,29,11,1,101029011
1,12,29,17,1,101029017
1,12,29,20,1,101029020
1,12,29,23,2,101029023
1,12,29,29,1,101029029
1,12,29,33,1,101029033
1,12,29,34,1,101029034
1,12,29,36,1,101029036
1,12,29,37,1,101029037
1,12,29,39,1,101029039
1,12,29,40,1,101029040
1,12,30,4,1,101030004
1,12,30,6,1,101030006
1,12,30,10,1,101030010
1,12,30,16,1,101030016
1,12,30,21,1,101030021
1,12,30,22,1,101030022
1,12,30,27,1,101030027
1,12,30,30,1,101030030
1,12,30,31,1,101030031
1,12,30,38,1,101030038
1,12,30,43,1,101030043
1,12,30,53,1,101030053
1,12,30,54,1,101030054
1,12,30,56,1,101030056
1,12,30,63,1,101030063
1,13,9,61,1,101009061
1,13,9,68,1,101009068
1,13,9,94,1,101009094
1,13,9,108,1,101009108
1,13,9,136,1,101009136
1,13,9,180,1,101009180
1,13,9,191,1,101009191
1,13,9,195,1,101009195
1,13,9,206,1,101009206
1,13,9,210,1,101009210
1,13,9,222,1,101009222
1,13,9,227,1,101009227
1,13,9,235,1,101009235
1,13,9,258,1,101009258
1,13,9,262,1,101009262
1,13,10,40,1,101010040
1,13,10,57,1,101010057
1,13,10,64,1,101010064
1,13,10,75,1,101010075
1,13,10,88,1,101010088
1,13,10,89,1,101010089
1,13,10,95,1,101010095
1,13,10,113,1,101010113
1,13,10,132,1,101010132
1,13,10,150,1,101010150
1,13,10,163,1,101010163
1,13,10,164,1,101010164
1,13,10,175,1,101010175
1,13,10,176,1,101010176
1,13,10,193,1,101010193
1,13,11,6,1,101011006
1,13,11,19,1,101011019
1,13,11,28,1,101011028
1,13,11,31,1,101011031
1,13,11,44,1,101011044
1,13,11,48,1,101011048
1,13,11,50,1,101011050
1,13,11,54,1,101011054
1,13,11,58,1,101011058
1,13,11,85,1,101011085
1,13,11,94,1,101011094
1,13,11,104,1,101011104
1,13,11,146,1,101011146
1,13,11,161,1,101011161
1,13,11,172,1,101011172
1,13,12,6,1,101012006
1,13,12,7,1,101012007
1,13,12,13,1,101012013
1,13,12,14,1,101012014
1,13,12,17,1,101012017
1,13,12,22,1,101012022
1,13,12,36,1,101012036
1,13,12,38,1,101012038
1,13,12,39,1,101012039
1,13,12,45,2,101012045
1,13,12,50,1,101012050
1,13,12,51,1,101012051
1,13,12,55,1,101012055
1,13,12,85,1,101012085
1,13,12,94,1,101012094
1,16,23,11,1,101023011
1,16,23,13,1,101023013
1,16,23,14,1,101023014
1,16,23,15,1,101023015
1,16,23,17,1,101023017
1,16,23,18,1,101023018
1,16,23,24,1,101023024
1,16,23,28,1,101023028
1,16,23,30,1,101023030
1,16,23,31,1,101023031
1,16,23,32,1,101023032
1,16,23,35,1,101023035
1,16,23,36,1,101023036
1,16,23,37,1,101023037
1,16,23,40,1,101023040
1,17,22,1,1,101022001
1,17,22,5,1,101022005
1,17,22,9,1,101022009
1,17,22,11,1,101022011
