date,btc
19/1/17,895.210022
20/1/17,892.909973
21/1/17,919.840027
22/1/17,918.840027
23/1/17,921.460022
24/1/17,893.75
25/1/17,894.409973
26/1/17,915.559998
27/1/17,918.01001
28/1/17,918.51001
29/1/17,914.549988
30/1/17,920.72998
31/1/17,965.48999
1/2/17,982.429993
2/2/17,1003.969971
3/2/17,1013.02002
4/2/17,1031.849976
5/2/17,1016.109985
6/2/17,1024.670044
7/2/17,1049.560059
8/2/17,1055.48999
9/2/17,978.960022
10/2/17,997.609985
11/2/17,1008.320007
12/2/17,996.52002
13/2/17,995.359985
14/2/17,1008.340027
15/2/17,1008.190002
16/2/17,1031.930054
17/2/17,1049.410034
18/2/17,1052.280029
19/2/17,1048.890015
20/2/17,1077.560059
21/2/17,1119.030029
22/2/17,1120.459961
23/2/17,1171.910034
24/2/17,1176.48999
25/2/17,1149.050049
26/2/17,1171.579956
27/2/17,1188.829956
28/2/17,1189.27002
1/3/17,1222.660034
2/3/17,1255.469971
3/3/17,1283.300049
4/3/17,1264.319946
5/3/17,1271.219971
6/3/17,1277.01001
7/3/17,1232.689941
8/3/17,1146.969971
9/3/17,1191.329956
10/3/17,1112.390015
11/3/17,1179.219971
12/3/17,1225.109985
13/3/17,1238.189941
14/3/17,1243.140015
15/3/17,1253.430054
16/3/17,1172.880005
17/3/17,1071.709961
18/3/17,971.380005
19/3/17,1022.599976
20/3/17,1047.51001
21/3/17,1121.290039
22/3/17,1044.719971
23/3/17,1035.030029
24/3/17,939.700012
25/3/17,966.299988
26/3/17,969.440002
26/3/17,1045.140015
27/3/17,1044.420044
28/3/17,1041.900024
29/3/17,1037.910034
30/3/17,1079.109985
31/3/17,1086.119995
1/4/17,1097.400024
2/4/17,1147.560059
3/4/17,1141.77002
4/4/17,1129.869995
5/4/17,1188.699951
6/4/17,1190.48999
7/4/17,1180.780029
8/4/17,1204.339966
9/4/17,1206.709961
10/4/17,1220.73999
11/4/17,1212.530029
12/4/17,1176.199951
13/4/17,1177.329956
14/4/17,1176.98999
15/4/17,1176.800049
16/4/17,1194.01001
17/4/17,1206.089966
18/4/17,1215.199951
19/4/17,1238.089966
20/4/17,1249.640015
21/4/17,1240.890015
22/4/17,1249.140015
23/4/17,1248.180054
24/4/17,1264.310059
