"id1","id2","id3","id4","animal_id","s3ai_1","s3ai_2i","s3ai_2ii","s3ai_3i","s3ai_3ii","s3ai_4","s3ai_5i","s3ai_5ii","s3ai_6i","s3ai_6ii","s3ai_7i","s3ai_7ii","s3ai_8i","s3ai_8ii","s3ai_9i","s3ai_9ii","s3ai_10i","s3ai_10ii","s3ai_11i","s3ai_11ii","s3ai_12i","s3ai_12ii","hhno"
1,1,8,4,7,3,1,,3,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,101008004
1,1,8,17,7,2,2,,3,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,101008017
1,1,8,22,4,1,1,2,25,0,2,0,0,150,0,2,0,0,0,0,0,0,0,0,0,50,0,101008022
1,1,8,22,7,4,1,2,16,0,2,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,101008022
1,1,8,53,7,1,1,,5,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,101008053
1,1,8,74,7,10,1,,7,0,2,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,101008074
1,1,8,78,4,3,1,,120,0,2,0,0,100,0,3,0,0,0,0,0,0,0,0,0,40,0,101008078
1,1,8,78,7,4,1,,7,0,2,0,0,20,0,0,0,6,0,0,0,0,0,0,0,0,0,101008078
1,13,9,222,4,3,1,,60,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101009222
1,13,9,262,7,20,1,,30,0,1,102,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,101009262
1,13,10,40,7,4,1,,20,0,1,2,50,6,0,2,50,0,0,0,0,0,0,0,0,0,0,101010040
1,8,13,6,7,15,1,,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,101013006
1,8,13,6,3,17,1,,1190,0,1,0,0,100,0,0,0,5,0,0,0,0,0,0,0,70,0,101013006
1,8,13,19,7,5,1,,40,0,1,0,0,40,0,0,0,0,0,0,0,10,0,0,0,40,0,101013019
1,8,13,48,7,15,1,,100,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101013048
1,8,13,48,3,5,1,,200,0,1,0,0,50,0,0,0,40,0,0,0,0,0,0,0,0,0,101013048
1,8,13,67,7,30,1,2,120,0,1,4,50,4,0,0,0,0,0,0,0,20,0,0,0,8,0,101013067
1,8,13,95,7,4,,,20,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,101013095
1,8,13,95,3,15,,,750,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101013095
1,8,13,95,4,2,,,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101013095
1,8,14,11,7,20,1,2,140,0,2,0,0,60,0,0,0,25,0,0,0,0,0,0,0,300,0,101014011
1,8,14,15,7,7,1,2,20,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,101014015
1,8,14,22,7,10,1,2,70,0,1,6,0,150,0,0,0,15,0,0,0,0,0,0,0,35,0,101014022
1,8,14,36,7,5,1,,25,0,2,0,0,15,0,0,0,15,0,0,0,0,0,0,0,15,0,101014036
1,8,14,41,7,13,1,,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,0,101014041
1,8,14,41,8,4,1,,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,101014041
1,8,14,46,7,60,1,2,150,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,101014046
1,8,14,61,7,10,1,,50,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101014061
1,8,14,65,7,60,1,,300,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,101014065
1,8,14,69,7,45,1,,300,0,1,100,0,50,0,100,0,150,0,0,0,0,0,0,0,0,0,101014069
1,8,14,113,7,4,1,,20,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,101014113
1,8,14,129,7,20,1,2,50,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,101014129
1,8,15,6,7,25,1,2,50,0,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,101015006
1,8,15,6,4,2,1,2,60,0,2,0,0,50,0,6,0,0,0,0,0,0,0,0,0,0,0,101015006
1,8,15,49,7,2,1,,8,0,2,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,101015049
1,8,15,55,4,2,1,,100,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101015055
1,8,15,55,3,2,1,,60,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101015055
1,8,15,64,4,2,1,2,100,0,2,0,0,60,0,20,0,15,0,0,0,0,0,0,0,0,0,101015064
1,8,15,65,7,1,2,,5,0,2,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,101015065
1,8,15,90,7,25,1,2,60,0,1,35,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,101015090
1,8,15,149,4,5,1,,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101015149
1,8,15,191,4,2,1,2,60,0,2,0,0,36,0,0,0,20,0,0,0,0,0,0,0,25,0,101015191
1,8,16,1,7,12,1,2,15,0,1,84,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,101016001
1,8,16,23,4,10,1,2,320,0,2,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,101016023
1,8,16,41,4,5,1,2,100,0,2,0,0,72,0,6,0,15,0,0,0,0,0,0,0,100,0,101016041
1,8,16,51,7,10,,,60,0,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,101016051
1,8,16,107,7,5,1,,18,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,101016107
1,8,16,107,3,2,1,,100,0,2,0,0,60,0,0,0,0,0,3,0,0,0,0,0,50,0,101016107
1,8,16,107,4,2,1,,80,0,2,0,0,60,0,0,0,0,0,3,0,0,0,0,0,0,0,101016107
1,8,16,111,3,7,1,,200,0,2,0,0,60,0,0,0,0,0,0,0,0,0,0,0,100,0,101016111
1,8,16,137,4,3,1,,90,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,101016137
1,8,16,137,7,3,1,,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101016137
1,8,16,144,3,4,1,2,200,0,1,30,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,101016144
1,8,16,154,4,1,1,,70,0,2,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,101016154
1,8,16,154,7,4,1,2,20,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,101016154
1,8,16,217,4,4,1,2,130,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,101016217
1,8,16,217,3,3,1,2,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101016217
1,8,16,217,7,10,1,2,70,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101016217
1,10,17,2,3,2,,,130,0,1,16,0,8,0,30,0,20,0,0,0,0,0,0,0,0,0,101017002
1,10,17,4,3,7,,,200,0,2,0,0,20,0,12,0,5,0,0,0,0,0,0,0,0,0,101017004
1,10,17,19,7,7,,,70,0,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,101017019
1,10,17,21,7,7,,,45,0,1,15,0,4,0,0,0,15,0,5,0,0,0,0,0,0,0,101017021
1,10,17,22,3,2,,,60,0,1,30,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,101017022
1,10,17,27,5,3,,,300,0,1,80,0,10,0,6,0,40,0,0,0,0,0,0,0,160,0,101017027
1,10,17,29,7,3,,,28,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,101017029
1,10,17,29,4,5,,,80,0,1,20,0,6,0,5,0,0,0,0,0,0,0,0,0,30,0,101017029
1,10,17,57,7,2,,,5,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,101017057
1,10,17,57,4,1,,,50,0,1,8,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0,101017057
1,10,18,14,4,7,,,250,0,2,0,0,30,0,15,0,0,0,0,0,0,0,0,0,0,0,101018014
1,10,18,26,7,10,,,50,0,1,15,0,0,0,0,0,10,0,0,0,2,0,0,0,10,0,101018026
1,10,18,26,4,1,,,20,0,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,101018026
1,10,18,30,7,10,,,80,0,1,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,101018030
1,10,18,43,4,25,1,,600,0,1,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,101018043
1,10,18,43,3,10,1,,300,0,1,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,101018043
1,10,19,3,7,5,1,,50,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,101019003
1,10,19,5,7,10,,,95,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,101019005
1,10,19,13,7,25,1,,89,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,101019013
1,10,19,17,7,10,,,0,60,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,101019017
1,10,20,6,7,8,,,60,0,1,5,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,101020006
1,10,20,14,7,7,,,50,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,101020014
1,10,20,16,7,15,,,75,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,101020016
1,10,20,16,4,4,,,120,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,101020016
1,10,20,18,4,6,,,120,0,2,0,0,10,0,0,0,120,0,0,0,0,0,0,0,0,0,101020018
