"id1","id2","id3","id4","entno","s5e_1a","s5e_1b","s5e_1ci","s5e_1cii","s5e_2a","s5e_2b","s5e_2ci","s5e_2cii","s5e_3a","s5e_3b","s5e_3ci","s5e_3cii","s5e_4a","s5e_4b","s5e_4ci","s5e_4cii","s5e_5a","s5e_5b","s5e_5ci","s5e_5cii","s5e_6a","s5e_6b","s5e_6ci","s5e_6cii","s5e_7a","s5e_7b","s5e_7ci","s5e_7cii","s5e_8a","s5e_8b","s5e_8ci","s5e_8cii","s5e_9a","s5e_9b","s5e_9ci","s5e_9cii","s5e_10a","s5e_10b","s5e_10ci","s5e_10cii","s5e_11a","s5e_11b","s5e_11ci","s5e_11cii","s5e_12a","s5e_12b","s5e_12ci","s5e_12cii","s5e_13a","s5e_13b","s5e_13ci","s5e_13cii","s5e_14a","s5e_14b","s5e_14ci","s5e_14cii","s5e_15a","s5e_15b","s5e_15ci","s5e_15cii","s5e_16a","s5e_16b","s5e_16ci","s5e_16cii","s5e_17a","s5e_17b","s5e_17ci","s5e_17cii","s5e_18","s5e_18a","s5e_18b","s5e_18ci","s5e_18cii","s5e_19","s5e_19a","s5e_19b","s5e_19ci","s5e_19cii","s5e_20","s5e_20a","s5e_20b","s5e_20ci","s5e_20cii","s5e_21a1","s5e_21a2","s5e_21a3","s5e_21a4i","s5e_21a4ii","s5e_21b1","s5e_21b2","s5e_21b3","s5e_21b4i","s5e_21b4ii","s5e_21c1","s5e_21c","s5e_21c3","s5e_21c4i","s5e_21c4ii","s5e_21d1","s5e_21d2","s5e_21d3","s5e_21d4i","s5e_21d4ii","s5e_21e1","s5e_21e2","hhno"
1,5,4,6,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101004006
1,5,4,10,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101004010
1,5,4,12,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101004012
1,5,4,14,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101004014
1,5,4,14,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101004014
1,5,4,16,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101004016
1,5,4,17,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101004017
1,5,4,24,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101004024
1,5,4,31,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101004031
1,2,5,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101005001
1,2,5,4,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101005004
1,2,5,19,1,2,1,30,0,,0,0,0,,0,0,0,,0,0,0,8,0,0,0,1,1,0,20,8,0,0,0,8,0,0,0,,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,37,5,19,30,,30,2,8,2,50,47,3,5,9,,41,5,34,6,,20,,101005019
1,2,5,22,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101005022
1,2,5,23,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101005023
1,2,5,24,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101005024
1,2,5,51,1,2,1,40,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,1,3,0,,0,0,0,2,2,3,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,37,5,19,20,,47,3,5,9,,30,2,8,2,,41,5,34,5,,5,,101005051
1,2,6,1,1,2,1,43,0,7,1,3,0,,0,0,0,,0,0,0,4,1,3,0,1,1,0,50,,0,0,0,,0,0,0,,0,0,0,4,1,60,0,,0,0,0,1,1,2,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,3,1,18,105,,46,1,4,28,,30,1,6,10,5,35,1,8,7,,42,,101006001
1,2,6,15,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101006015
