"id1","id2","hhno","nr_sid","s2b_3","s2b_4","s2b_5","s2b_6","s2b_7","s2b_8","s2b_9","s2b_10","s2b_11","s2b_12","s2b_13","s2b_14","s2b_15","s2b_16","s2b_17","s2b_18","s2b_19","s2b_20"
10,166,110337033,2,1,,,25,62,1,2010,6,100,,,1,,1,,11,166,
10,166,110337056,1,1,,,,,1,2010,9,10,,,1,,1,,11,166,
10,167,110340004,1,1,1971,,25,,8,2007,5,5,2010,3,1,,1,,12,167,
10,167,110340032,1,1,,33,33,73,1,2008,6,200,,,1,,1,,11,167,
10,168,110338009,1,1,1975,,20,73,1,2010,6,100,,,1,,1,,11,168,
10,168,110338009,2,1,1970,,21,73,1,2010,6,100,,,1,,1,,11,168,
10,168,110338010,1,1,48,,,73,1,2007,6,70,,,1,,1,,11,168,
10,168,110338019,1,1,1950,,18,73,1,2010,6,100,2010,,1,,1,,11,168,
10,168,110339009,1,1,1972,,,73,1,1995,4,100,2010,,1,,1,,11,168,
10,168,110339010,1,1,1975,,,73,1,2009,6,360,,,1,,1,,11,168,
10,168,110339024,1,1,,,,73,12,2006,6,10,,,1,,1,,11,168,
10,168,110339033,1,1,1985,24,24,73,6,2009,4,3,2010,,1,,1,,11,168,
10,168,110339039,1,1,,,,,1,,6,,,,1,,1,,11,168,
10,168,110339049,1,1,1987,,19,73,1,2007,5,,,52,1,,1,,5,35,
10,169,110329037,1,1,,,,62,1,2009,4,300,,0,1,,1,,11,169,
10,169,110329072,1,1,,,,62,1,2000,4,100,,0,1,,1,,11,169,
10,169,110329074,1,1,,888,,62,1,2008,7,100,,0,1,,1,,11,169,
10,169,110331007,1,1,,,,62,1,2002,6,2,,,1,,1,,12,169,
10,169,110331009,2,1,,,,62,1,,9,3,2009,,1,,1,,2,126,
10,169,110331009,1,1,,,,62,2,,9,3,2009,,1,,1,,1,102,
10,169,110331012,1,1,,,,62,1,2009,4,15,2010,,1,,1,,11,169,
10,169,110331015,1,1,,,,62,1,2010,6,25,,,1,,1,,11,169,
10,169,110332009,2,1,,,,62,3,20,4,4,2009,0,1,,1,,8,169,
10,169,110332009,1,1,,,,62,1,,4,6,,,1,,1,,11,169,
10,171,110330004,1,1,,,,62,1,2007,,,2007,,1,,1,,2,103,
10,171,110330005,1,1,,,,62,1,2009,6,1,,,1,,1,,1,102,
10,171,110330006,1,5,1957,,,62,1,2010,6,100,,,1,,1,,11,171,
10,171,110330020,1,1,1964,,,62,1,1,6,,,,1,,1,,12,169,
10,171,110330023,2,1,,,,62,1,2009,4,3,2010,,1,,1,,12,171,
10,171,110330023,1,1,,,,62,1,2009,4,3,2010,,1,,1,,12,171,
