"id1","id2","id3","id4","s4avi2_plotno","s4avi_203i","s4avi_a203","s4avi_204","s4avi_205i","s4avi_205ii","s4avi_206i","s4avi_206ii","s4avi_207","s4avi_208i","s4avi_208ii","s4avi_209i","s4avi_209ii","s4avi_210i","s4avi_210ii","s4avi_210iii","s4avi_210iv","s4avi_211i","s4avi_211","s4avi_212","s4avi_213i","s4avi_213ii","s4avi_214i","s4avi_214ii","s4avi_215","s4avi_216i","s4avi_216ii","s4avi_217i","s4avi_217ii","s4avi_218i","s4avi_218ii","s4avi_218iii","s4avi_218iv","s4avi_219i","s4avi_219","s4avi_220","s4avi_221i","s4avi_221ii","s4avi_222i","s4avi_222ii","s4avi_223","s4avi_224i","s4avi_224ii","s4avi_225i","s4avi_225ii","s4avi_226i","s4avi_226ii","s4avi_226iii","s4avi_226iv","s4avi_227i","s4avi_227","s4avi_228","s4avi_229i","s4avi_229ii","s4avi_230i","s4avi_230ii","s4avi_231","s4avi_232i","s4avi_232ii","s4avi_233i","s4avi_233ii","s4avi_234i","s4avi_234ii","s4avi_234iii","s4avi_234iv","s4avi_235i","s4avi_235","s4avi_236","s4avi_237i","s4avi_237ii","s4avi_238i","s4avi_238ii","s4avi_239","s4avi_240i","s4avi_240ii","s4avi_241i","s4avi_241ii","s4avi_242i","s4avi_242ii","s4avi_242iii","s4avi_242iv","hhno"
1,2,26,23,2,1,1,4,1,15,15,,3,,,,,6,,,,18,1,4,5,15,50,,3,,,,,6,,,,19,1,2,1,15,20,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026023
1,2,26,26,1,1,1,,2,15,50,,1,2,15,50,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026026
1,2,26,40,2,19,1,2,1,15,15,,1,1,15,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026040
1,2,26,40,1,19,1,2,3,15,45,,1,3,15,45,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026040
1,2,26,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026042
1,2,26,42,2,18,1,4,15,15,225,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026042
1,2,26,42,1,18,1,4,20,15,300,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026042
1,2,26,43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026043
1,2,26,43,1,18,1,4,4,15,60,,3,,,,,6,,,,19,1,2,4,15,60,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026043
1,2,28,10,1,18,1,4,1,15,15,,1,1,15,15,,6,,,,1,1,4,2,15,50,,3,,,,,6,,,,78,1,2,2,15,50,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028010
1,2,28,15,1,18,1,4,1,15,15,,3,,,,,6,,,,19,1,2,1,15,15,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028015
1,2,28,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028032
1,2,28,32,1,1,1,4,3,14,60,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028032
1,2,28,41,1,18,1,4,6,15,120,,3,,,,,6,,,,1,1,4,6,15,150,,3,,,,,6,,,,78,1,2,8,15,200,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028041
1,2,28,41,2,18,1,4,6,15,120,,3,,,,,6,,,,1,1,4,6,15,150,,3,,,,,6,,,,78,1,2,7,15,175,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028041
1,8,13,8,3,7,1,3,1,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013008
1,8,13,8,1,7,1,3,1,15,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013008
1,8,13,8,2,7,1,3,5,15,50,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013008
1,8,13,15,2,33,1,3,2,15,18,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013015
1,8,13,15,1,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013015
1,8,13,15,3,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013015
1,8,13,19,,,1,3,1,15,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013019
1,8,13,20,2,33,1,3,4,15,36,,3,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013020
1,8,13,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013020
1,8,13,20,1,33,2,,,,,,,,,,,,,,,7,1,3,3,15,33,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013020
1,8,13,28,1,33,1,3,4,15,28,,3,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013028
1,8,13,28,4,,,,,,,,,,,,,,,,,54,1,3,2,15,13,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013028
1,8,13,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013028
1,8,13,28,2,33,1,3,4,15,28,,3,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013028
1,8,13,28,3,33,1,3,4,15,28,,3,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013028
1,8,13,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013030
