"id1","id2","id3","id4","s4avi_a202","hhno"
1,8,13,32,1,101013032
1,8,13,36,1,101013036
1,8,13,48,1,101013048
1,8,13,66,1,101013066
1,8,13,67,1,101013067
1,8,13,87,1,101013087
1,8,13,95,1,101013095
1,8,13,103,2,101013103
1,8,14,11,1,101014011
1,8,14,15,1,101014015
1,8,14,22,1,101014022
1,8,14,33,2,101014033
1,8,14,36,1,101014036
1,8,14,41,2,101014041
1,8,14,46,1,101014046
1,8,14,57,1,101014057
1,8,14,65,2,101014065
1,8,14,69,1,101014069
1,8,14,82,2,101014082
1,8,14,113,2,101014113
1,8,14,118,2,101014118
1,8,14,129,2,101014129
1,8,15,6,1,101015006
1,8,15,9,2,101015009
1,8,15,34,1,101015034
1,8,15,49,2,101015049
1,8,15,55,2,101015055
1,8,15,64,1,101015064
1,8,15,65,2,101015065
1,8,15,90,1,101015090
1,8,15,119,2,101015119
1,8,15,120,2,101015120
1,8,15,149,2,101015149
1,8,15,151,2,101015151
1,8,15,188,2,101015188
1,8,15,191,1,101015191
1,8,16,1,1,101016001
1,8,16,23,2,101016023
1,8,16,41,2,101016041
1,8,16,53,2,101016053
1,8,16,107,2,101016107
1,8,16,111,2,101016111
1,8,16,137,1,101016137
1,8,16,144,2,101016144
1,8,16,149,1,101016149
1,8,16,152,2,101016152
1,8,16,154,1,101016154
1,8,16,163,2,101016163
1,8,16,217,1,101016217
1,10,17,2,2,101017002
1,10,17,4,1,101017004
1,10,17,11,2,101017011
1,10,17,19,2,101017019
1,10,17,20,2,101017020
1,10,17,21,2,101017021
1,10,17,22,2,101017022
1,10,17,27,2,101017027
1,10,17,29,2,101017029
1,10,17,36,2,101017036
1,10,17,51,2,101017051
1,10,17,56,2,101017056
1,10,17,57,2,101017057
1,10,18,2,2,101018002
1,10,18,14,2,101018014
1,10,18,34,2,101018034
1,10,19,3,2,101019003
1,10,19,4,1,101019004
1,10,19,5,2,101019005
1,10,19,6,2,101019006
1,10,19,8,2,101019008
1,10,19,9,2,101019009
1,10,19,11,2,101019011
1,10,19,12,2,101019012
1,10,19,13,2,101019013
1,10,19,14,2,101019014
1,10,19,16,2,101019016
1,10,19,17,2,101019017
1,10,19,20,2,101019020
1,10,20,4,1,101020004
1,10,20,6,2,101020006
1,10,20,16,1,101020016
1,10,20,18,1,101020018
1,10,20,27,2,101020027
1,10,20,35,1,101020035
1,10,20,37,2,101020037
1,10,20,43,1,101020043
1,10,21,1,1,101021001
1,10,21,7,2,101021007
1,10,21,11,2,101021011
1,10,21,30,2,101021030
1,10,21,45,2,101021045
1,10,21,54,1,101021054
