"id1","id2","id3","id4","s1eii_30i","s1eii_30ii","hhno"
1,1,3,11,2,,101003011
1,1,3,12,2,,101003012
1,1,3,15,2,,101003015
1,1,3,32,2,,101003032
1,1,3,37,2,,101003037
1,1,3,40,2,,101003040
1,1,3,46,2,,101003046
1,1,8,17,2,,101008017
1,1,8,35,2,,101008035
1,1,8,60,2,,101008060
1,2,6,2,2,,101006002
1,2,6,9,2,,101006009
1,2,6,11,2,,101006011
1,2,6,55,1,1,101006055
1,2,6,56,2,,101006056
1,2,7,1,2,,101007001
1,2,7,4,2,,101007004
1,2,7,11,2,,101007011
1,2,7,14,2,,101007014
1,2,7,28,2,,101007028
1,2,7,36,2,,101007036
1,2,28,10,2,,101028010
1,2,28,41,2,,101028041
1,5,4,1,2,,101004001
1,5,4,2,2,,101004002
1,5,4,6,2,,101004006
1,5,4,16,1,1,101004016
1,5,4,22,2,,101004022
1,5,4,24,2,,101004024
1,5,4,27,2,,101004027
1,6,1,2,2,,101001002
1,6,1,9,2,,101001009
1,6,1,22,2,,101001022
1,6,1,26,2,,101001026
1,6,2,29,2,,101002029
1,6,2,41,2,,101002041
1,6,2,50,2,,101002050
1,6,2,52,2,,101002052
1,8,13,6,2,,101013006
1,8,13,15,2,,101013015
1,8,13,103,2,,101013103
1,8,15,6,2,,101015006
1,8,15,194,2,,101015194
1,8,16,1,2,,101016001
1,8,16,41,2,,101016041
1,8,16,53,2,,101016053
1,8,16,111,2,,101016111
1,8,16,163,2,,101016163
1,8,16,217,2,,101016217
1,10,17,4,2,,101017004
1,10,17,19,2,,101017019
1,10,17,31,2,,101017031
1,10,18,19,2,,101018019
1,10,18,28,2,,101018028
1,10,18,30,2,,101018030
1,10,18,41,2,,101018041
1,10,18,43,2,,101018043
1,10,19,6,2,,101019006
1,10,19,8,2,,101019008
1,10,19,9,2,,101019009
1,10,19,11,2,,101019011
1,10,19,12,2,,101019012
1,10,19,13,2,,101019013
1,10,19,14,2,,101019014
1,10,19,17,2,,101019017
1,10,19,19,2,,101019019
1,10,20,14,2,,101020014
1,10,20,24,2,,101020024
1,10,20,25,2,,101020025
1,10,20,35,2,,101020035
1,10,21,11,2,,101021011
1,10,21,26,2,,101021026
1,10,21,30,2,,101021030
1,10,21,34,2,,101021034
1,10,21,51,2,,101021051
1,10,27,4,2,,101027004
1,10,27,11,2,,101027011
1,10,27,36,2,,101027036
1,10,27,60,2,,101027060
1,11,31,24,2,,101031024
1,11,31,74,2,,101031074
1,12,30,4,2,,101030004
1,13,9,61,2,,101009061
1,13,9,94,2,,101009094
1,13,9,108,2,,101009108
1,13,9,180,2,,101009180
1,13,9,195,2,,101009195
1,13,9,206,2,,101009206
1,13,9,210,2,,101009210
1,13,9,222,2,,101009222
1,13,9,227,2,,101009227
1,13,9,235,2,,101009235
1,13,9,258,2,,101009258
1,13,10,40,2,,101010040
1,13,10,88,2,,101010088
1,13,10,95,2,,101010095
1,13,10,113,2,,101010113
1,13,10,150,2,,101010150
1,13,10,163,2,,101010163
1,13,10,164,2,,101010164
1,13,10,175,2,,101010175
1,13,10,193,2,,101010193
1,13,11,28,2,,101011028
1,13,11,31,2,,101011031
1,13,11,48,2,,101011048
1,13,11,50,2,,101011050
1,13,11,58,2,,101011058
1,13,11,104,2,,101011104
1,13,11,146,2,,101011146
1,13,11,161,2,,101011161
1,13,12,7,2,,101012007
1,13,12,13,2,,101012013
1,13,12,14,2,,101012014
1,13,12,22,2,,101012022
1,13,12,36,2,,101012036
1,13,12,38,2,,101012038
1,13,12,39,2,,101012039
1,13,12,45,2,,101012045
1,13,12,50,2,,101012050
1,13,12,51,2,,101012051
1,13,12,85,2,,101012085
1,13,12,94,2,,101012094
1,16,23,13,2,,101023013
1,16,23,15,2,,101023015
1,16,23,24,2,,101023024
1,16,23,32,2,,101023032
1,17,22,30,2,,101022030
1,17,22,35,2,,101022035
1,17,22,36,2,,101022036
1,17,24,20,2,,101024020
2,2,32,5,2,,102032005
2,2,32,10,2,,102032010
2,2,32,66,2,,102032066
2,2,32,89,2,,102032089
2,2,33,2,2,,102033002
2,2,33,10,2,,102033010
2,2,33,12,2,,102033012
2,2,33,15,2,,102033015
2,2,33,16,2,,102033016
2,2,33,18,2,,102033018
2,2,33,21,2,,102033021
2,2,33,34,2,,102033034
2,2,33,37,2,,102033037
2,2,34,41,2,,102034041
2,2,34,73,2,,102034073
2,2,34,76,2,,102034076
2,2,35,4,2,,102035004
2,2,35,9,2,,102035009
2,2,35,13,2,,102035013
2,2,35,14,2,,102035014
2,2,35,18,2,,102035018
2,2,37,21,2,,102037021
2,3,36,2,2,,102036002
2,3,36,4,2,,102036004
2,3,36,11,2,,102036011
2,3,36,16,2,,102036016
2,5,51,6,2,,102051006
2,5,51,23,2,,102051023
2,5,51,58,2,,102051058
2,6,45,2,2,,102045002
2,6,45,18,2,,102045018
2,6,45,34,2,,102045034
2,6,45,39,2,,102045039
2,6,45,51,1,1,102045051
2,7,50,1,2,,102050001
2,7,50,4,2,,102050004
2,7,50,6,2,,102050006
2,7,50,19,2,,102050019
2,7,50,25,2,,102050025
2,7,50,27,2,,102050027
2,8,52,38,2,,102052038
2,8,52,43,2,,102052043
2,8,52,58,2,,102052058
2,8,52,77,2,,102052077
2,9,54,58,1,1,102054058
2,9,55,15,2,,102055015
2,9,55,94,2,,102055094
2,19,49,5,2,,102049005
2,19,49,65,2,,102049065
2,20,48,52,2,,102048052
2,20,48,67,2,,102048067
2,22,53,47,2,,102053047
2,22,53,74,2,,102053074
2,22,53,79,2,,102053079
2,22,53,89,2,,102053089
2,23,57,51,2,,102057051
2,23,57,55,2,,102057055
2,23,57,73,2,,102057073
2,23,58,15,2,,102058015
2,23,58,47,2,,102058047
2,23,58,56,2,,102058056
2,25,47,24,2,,102047024
2,25,47,43,2,,102047043
2,27,46,29,2,,102046029
2,27,46,36,2,,102046036
2,27,46,37,2,,102046037
2,27,46,54,2,,102046054
2,27,46,90,2,,102046090
2,27,46,99,2,,102046099
2,27,46,100,2,,102046100
2,27,46,119,2,,102046119
2,29,41,2,2,,102041002
2,29,41,60,2,,102041060
2,29,41,61,2,,102041061
2,29,41,80,2,,102041080
2,29,42,3,2,,102042003
2,29,42,9,2,,102042009
2,29,42,13,2,,102042013
2,29,42,14,2,,102042014
2,29,42,21,2,,102042021
2,29,42,25,2,,102042025
2,29,42,26,2,,102042026
2,29,42,32,2,,102042032
2,29,42,38,2,,102042038
2,29,42,50,2,,102042050
2,29,42,52,2,,102042052
2,29,43,92,2,,102043092
2,29,43,102,2,,102043102
2,29,43,113,2,,102043113
2,29,43,120,2,,102043120
2,29,44,39,2,,102044039
2,29,44,105,2,,102044105
2,29,44,128,2,,102044128
2,29,60,10,2,,102060010
2,31,39,4,2,,102039004
2,31,39,5,2,,102039005
2,31,40,35,2,,102040035
2,31,40,36,2,,102040036
3,1,61,29,2,,103061029
3,1,61,47,2,,103061047
3,1,61,55,2,,103061055
3,1,61,58,2,,103061058
3,1,61,69,2,,103061069
3,1,61,85,2,,103061085
3,1,61,120,2,,103061120
3,1,61,122,2,,103061122
3,1,61,134,2,,103061134
3,1,61,145,2,,103061145
3,1,62,18,2,,103062018
3,1,62,22,2,,103062022
3,1,62,24,2,,103062024
3,1,62,51,2,,103062051
3,1,62,62,2,,103062062
3,1,62,195,2,,103062195
3,1,62,199,2,,103062199
3,1,62,207,2,,103062207
3,1,62,247,2,,103062247
3,1,63,27,2,,103063027
3,1,63,39,2,,103063039
3,1,63,53,2,,103063053
3,1,63,86,2,,103063086
3,1,63,108,2,,103063108
3,1,64,4,2,,103064004
3,1,64,16,2,,103064016
3,1,64,27,2,,103064027
3,1,64,36,2,,103064036
3,1,64,39,2,,103064039
3,1,64,44,2,,103064044
3,1,64,69,2,,103064069
3,1,64,71,2,,103064071
3,1,65,23,2,,103065023
3,1,65,30,2,,103065030
3,1,65,49,2,,103065049
3,1,65,50,2,,103065050
3,1,65,63,2,,103065063
3,1,65,65,2,,103065065
3,1,65,67,2,,103065067
3,1,65,72,2,,103065072
3,1,66,50,2,,103066050
3,1,66,67,2,,103066067
3,1,66,108,2,,103066108
3,1,66,113,2,,103066113
3,1,67,1,2,,103067001
3,1,67,22,2,,103067022
3,1,67,44,2,,103067044
3,1,67,46,2,,103067046
3,1,67,48,2,,103067048
3,1,67,51,2,,103067051
3,1,67,67,2,,103067067
3,1,67,69,2,,103067069
3,1,68,13,2,,103068013
3,1,68,17,2,,103068017
3,1,68,21,2,,103068021
3,1,68,66,2,,103068066
3,1,68,70,2,,103068070
3,1,68,83,2,,103068083
3,1,68,97,2,,103068097
3,1,68,164,2,,103068164
3,1,69,8,2,,103069008
3,1,69,14,2,,103069014
3,1,69,22,2,,103069022
3,1,69,23,2,,103069023
3,1,69,31,2,,103069031
3,1,69,32,2,,103069032
3,1,69,53,2,,103069053
3,1,70,1,2,,103070001
3,1,70,9,2,,103070009
3,1,70,20,2,,103070020
