"Date","GDP","Tax","Govt"
"Mar-1960",-8.10723915175351,-10.1479988421601,-10.140931674937
"Jun-1960",-8.11534717240411,-10.1462714000115,-10.1448639402436
"Sep-1960",-8.11367928697589,-10.1458679438052,-10.1088012433318
"Dec-1960",-8.13009970084583,-10.159359265163,-10.1005590073985
"Mar-1961",-8.12707807080001,-10.1595659961177,-10.1063837306574
"Jun-1961",-8.11352259965279,-10.1553371644416,-10.1000297460399
"Sep-1961",-8.09742214447957,-10.1540503328255,-10.0810251978106
"Dec-1961",-8.07966109181362,-10.14101031545,-10.0629472906319
"Mar-1962",-8.06356608826374,-10.1066399857727,-10.0279968584536
"Jun-1962",-8.05817744026199,-10.0914018405861,-10.0237669730424
"Sep-1962",-8.05060615312527,-10.0754102446502,-9.99651630218058
"Dec-1962",-8.05289412051279,-10.0682872170266,-9.99733548105436
"Mar-1963",-8.04688757287357,-10.0461503129006,-10.0226750564792
"Jun-1963",-8.04001537637529,-10.0439435917249,-10.0333986785483
"Sep-1963",-8.02251895597569,-10.0446641527809,-9.99214066580093
"Dec-1963",-8.0201902409137,-10.0476352640472,-10.0066739064162
"Mar-1964",-8.00352610842854,-10.0725710021765,-10.0095851041744
"Jun-1964",-7.99660120740844,-10.1235665870537,-10.0158602465039
"Sep-1964",-7.98549930623587,-10.1062446540569,-10.0164259762463
"Dec-1964",-7.98679625015518,-10.0913607278918,-10.0342023140519
"Mar-1965",-7.9669983084966,-10.0500686050306,-10.0489506619293
"Jun-1965",-7.95852952830948,-10.0498185704624,-10.0509278329167
"Sep-1965",-7.93989448074526,-10.0794269551028,-10.0104340836158
"Dec-1965",-7.9203672991307,-10.0694126367562,-9.97713736064708
"Mar-1966",-7.89906911227023,-9.9912851272933,-9.96119258580035
"Jun-1966",-7.89842049126165,-9.95550512584021,-9.94487186953884
"Sep-1966",-7.8929235245917,-9.94018942153224,-9.90216907954687
"Dec-1966",-7.88765017491138,-9.9235325618777,-9.90171351448306
"Mar-1967",-7.88212889296794,-9.91188943196001,-9.85068151877301
"Jun-1967",-7.885261821345,-9.91171539233847,-9.85948420011302
"Sep-1967",-7.88081943434553,-9.8979788126966,-9.84798958282769
"Dec-1967",-7.87788609128779,-9.89125862942945,-9.84558859259626
"Mar-1968",-7.8615192993345,-9.87028329599215,-9.83485285901265
"Jun-1968",-7.84840486139269,-9.85192054024012,-9.84244179628558
"Sep-1968",-7.84472069133732,-9.78204350099524,-9.84609552248809
"Dec-1968",-7.84556125278691,-9.77132448120472,-9.85556924874109
"Mar-1969",-7.83450110199462,-9.721570751027,-9.87108105129776
"Jun-1969",-7.83552129533697,-9.71204221935277,-9.88624151142059
"Sep-1969",-7.83317919163026,-9.73809648697618,-9.87714113937242
"Dec-1969",-7.84299029720441,-9.74664993782459,-9.90533577281724
"Mar-1970",-7.84964914517834,-9.77168373583714,-9.91248653180614
"Jun-1970",-7.85350999999773,-9.78113233374293,-9.94520544182916
"Sep-1970",-7.8500005190779,-9.82439464079004,-9.95452145286099
"Dec-1970",-7.86666880321992,-9.84005192842571,-9.96521507137971
"Mar-1971",-7.84540508596127,-9.85018509887209,-9.98736698462244
"Jun-1971",-7.84573491925981,-9.85916881280405,-9.99863934686553
"Sep-1971",-7.84305152386047,-9.86451417945844,-10.0046608112017
"Dec-1971",-7.84638189938787,-9.86258796124437,-10.0252924711454
"Mar-1972",-7.83948945444888,-9.7836945732531,-10.0031538352928
"Jun-1972",-7.82227265417045,-9.77882035689649,-9.9950049378864
"Sep-1972",-7.81815111355468,-9.78528284128348,-10.0479795709837
"Dec-1972",-7.80635643464751,-9.78298415774594,-10.0412287286158
"Mar-1973",-7.7870416089365,-9.73135593580489,-10.0287245484364
"Jun-1973",-7.78139826618151,-9.73269811695842,-10.0484799603222
"Sep-1973",-7.79184168475119,-9.73107865458711,-10.0887240013191
"Dec-1973",-7.78741966164029,-9.72295235907576,-10.090207986014
"Mar-1974",-7.80119212504737,-9.70720345235643,-10.0800533567541
"Jun-1974",-7.803886730463,-9.70368987523225,-10.0941953547679
"Sep-1974",-7.81843619290219,-9.7091663796893,-10.0932065977134
"Dec-1974",-7.82730090198265,-9.73260161895872,-10.0844861345748
"Mar-1975",-7.84442147133891,-9.75614753536174,-10.1046635441258
"Jun-1975",-7.84198456301159,-9.93747526686836,-10.1194032003547
"Sep-1975",-7.830721539485,-9.80300280576822,-10.103801207575
"Dec-1975",-7.82228113595604,-9.7938904773673,-10.0989809806737
"Mar-1976",-7.80479105196393,-9.78222843206799,-10.1098510534122
"Jun-1976",-7.80199225307192,-9.7666485235319,-10.1194254691781
"Sep-1976",-7.80131379724104,-9.75472577712073,-10.1240302050637
"Dec-1976",-7.7985438697659,-9.75072915934008,-10.1179685025627
"Mar-1977",-7.79117708242038,-9.73247152992361,-10.1174746791091
"Jun-1977",-7.77659587558349,-9.72046520760395,-10.1122626769835
"Sep-1977",-7.76358572304238,-9.72260956788693,-10.1142767677902
"Dec-1977",-7.76803181031734,-9.71260293112225,-10.1185526527606
"Mar-1978",-7.76910820909168,-9.69889696608016,-10.1252159104715
"Jun-1978",-7.7355537803684,-9.67334804189635,-10.1099664329993
"Sep-1978",-7.73009376097116,-9.64593975363419,-10.1081462926976
"Dec-1978",-7.72142257273219,-9.62701632560841,-10.1077175789765
"Mar-1979",-7.72410646101972,-9.61436332584153,-10.1132928339773
"Jun-1979",-7.72727125366871,-9.60978199879735,-10.1165590340373
"Sep-1979",-7.7244105693967,-9.60134284182932,-10.1174070795237
"Dec-1979",-7.72707175809622,-9.59236044592757,-10.1182347234427
"Mar-1980",-7.7282122115727,-9.60585620903688,-10.0970339235258
"Jun-1980",-7.75291210459397,-9.60167439309065,-10.0671469769768
"Sep-1980",-7.75823882599944,-9.59595334333299,-10.0948280852278
"Dec-1980",-7.74321086460628,-9.57871896745249,-10.0894746097635
"Mar-1981",-7.72729775847109,-9.52444911443815,-10.0798259750244
"Jun-1981",-7.73802840876971,-9.51806242419893,-10.0544639181917
"Sep-1981",-7.72950934334989,-9.51363075644115,-10.0590130417631
"Dec-1981",-7.74384956474405,-9.54147845654491,-10.0427229494396
"Mar-1982",-7.76245392917261,-9.55883573769372,-10.042481334138
"Jun-1982",-7.7609368331467,-9.56562465256475,-10.0348259769646
"Sep-1982",-7.76769508483062,-9.60029140179205,-10.0270548709188
"Dec-1982",-7.77031767665074,-9.60017699211106,-10.0051842457174
"Mar-1983",-7.7599000580156,-9.60687902149963,-9.99793583359247
"Jun-1983",-7.73999677832576,-9.59145570788105,-9.98181919106498
"Sep-1983",-7.72302020120317,-9.62845103615305,-9.95881948983625
"Dec-1983",-7.70523867423915,-9.61314207730018,-9.9954360592263
"Mar-1984",-7.69003092458215,-9.59350834051392,-9.98855579826257
"Jun-1984",-7.67544649470802,-9.58249187061441,-9.95989106108424
"Sep-1984",-7.66850134261728,-9.56487892183004,-9.95754100277337
"Dec-1984",-7.66336530529848,-9.55214784120458,-9.92430918583859
"Mar-1985",-7.65592520923433,-9.49596908430261,-9.93104360623375
"Jun-1985",-7.64954562580207,-9.56885064011428,-9.91149966662349
"Sep-1985",-7.63701478187675,-9.51803456370288,-9.8854270792761
"Dec-1985",-7.63256318700349,-9.5115693064,-9.88685220472378
"Mar-1986",-7.62820231479423,-9.51896118483018,-9.90190445469544
"Jun-1986",-7.62646823420051,-9.51889840697218,-9.8791250103427
"Sep-1986",-7.61977579714403,-9.50661108338173,-9.85050013086635
"Dec-1986",-7.61736377736107,-9.48993918339178,-9.86962220583436
"Mar-1987",-7.61346625796382,-9.50107393659233,-9.87481438177475
"Jun-1987",-7.60561968621237,-9.43364970751938,-9.86627649326937
"Sep-1987",-7.59966638575909,-9.45730007512732,-9.87073440247849
"Dec-1987",-7.58511856728057,-9.43962901886583,-9.86227104258728
"Mar-1988",-7.58267116595475,-9.43095155484003,-9.88829631498458
"Jun-1988",-7.57192350217791,-9.43631582043935,-9.89809873285954
"Sep-1988",-7.56853210353317,-9.4402585658786,-9.91144399553764
"Dec-1988",-7.55751429904032,-9.43377123968944,-9.88703546754273
"Mar-1989",-7.5501923324714,-9.40294391795656,-9.91111165606473
"Jun-1989",-7.54477576381017,-9.40261793021198,-9.89656981689696
"Sep-1989",-7.5396613880423,-9.39630357501081,-9.89291712132693
"Dec-1989",-7.53992880838591,-9.38890401001,-9.90334734232498
"Mar-1990",-7.5370595277965,-9.40157481721188,-9.89850627696627
"Jun-1990",-7.53554927839665,-9.39901382690192,-9.89349810764291
"Sep-1990",-7.5371783839235,-9.39598987945342,-9.90734897882556
"Dec-1990",-7.54903862890063,-9.40335015121422,-9.90422649731238
"Mar-1991",-7.55584809388505,-9.42184300076847,-9.89577337875936
"Jun-1991",-7.55009554387398,-9.42073141623792,-9.89619657872186
"Sep-1991",-7.54751779706329,-9.42199843174277,-9.90694192453302
"Dec-1991",-7.54679635576304,-9.41804796193231,-9.93091514421981
"Mar-1992",-7.5370962987806,-9.42054847901133,-9.93182204655064
"Jun-1992",-7.52855743669026,-9.41504000458044,-9.93903383914732
"Sep-1992",-7.52142779235657,-9.4116577920237,-9.92396330305023
"Dec-1992",-7.51409605144812,-9.40417585452023,-9.92682964462687
"Mar-1993",-7.51495717994276,-9.4139860117957,-9.96566809441997
"Jun-1993",-7.51147848517462,-9.39521102471562,-9.98014214348396
"Sep-1993",-7.5093361271742,-9.3889937238007,-9.98523103550596
"Dec-1993",-7.49866208981635,-9.37309115094677,-9.98284185555311
"Mar-1994",-7.49137178713902,-9.36667235391631,-10.0210713727923
"Jun-1994",-7.48014164295002,-9.3378785242096,-10.0238875383069
"Sep-1994",-7.47699386366653,-9.34964893654264,-10.0027020474074
"Dec-1994",-7.46838581137005,-9.34199370327815,-10.0293059010298
"Mar-1995",-7.46627883370563,-9.33400811753858,-10.0304308807187
"Jun-1995",-7.46538292034425,-9.31472455295003,-10.0340325595486
"Sep-1995",-7.45949543729796,-9.31970313138315,-10.0444533497274
"Dec-1995",-7.4554519115539,-9.31032539659131,-10.0729236549448
"Mar-1996",-7.45010947015715,-9.29263729323446,-10.0580489797105
"Jun-1996",-7.43609928433009,-9.26390554270295,-10.0607454686176
"Sep-1996",-7.43001567670626,-9.26276932735157,-10.074276278113
"Dec-1996",-7.42268840927846,-9.24996302719414,-10.0841751211624
"Mar-1997",-7.42091194378933,-9.23200157729486,-10.1055848866901
"Jun-1997",-7.40657057701883,-9.21387495237509,-10.0812358645519
"Sep-1997",-7.39678122629706,-9.20171758642843,-10.0902547116532
"Dec-1997",-7.39106233508903,-9.18438590119894,-10.0909211237026
"Mar-1998",-7.3833223124286,-9.16843835931022,-10.1238691407451
"Jun-1998",-7.37660358256518,-9.15279866438701,-10.1030159291725
"Sep-1998",-7.36690275246829,-9.13865775573306,-10.1075016064991
"Dec-1998",-7.35392695663503,-9.12397420639894,-10.1038353032514
"Mar-1999",-7.3483569274015,-9.12018190212159,-10.1093363438868
"Jun-1999",-7.34271737990948,-9.11254860489916,-10.108923124018
"Sep-1999",-7.33249732484534,-9.10179907952758,-10.0906754829586
"Dec-1999",-7.31917801070295,-9.08523086650865,-10.0669662200019
"Mar-2000",-7.32947821066583,-9.06736727680056,-10.1112872909065
"Jun-2000",-7.31453622880486,-9.06801447354702,-10.0860033772129
"Sep-2000",-7.31669294338708,-9.05710969222339,-10.1069397081051
"Dec-2000",-7.3137520206916,-9.0558715830507,-10.1080882060447
"Mar-2001",-7.31957152956619,-9.04243364102791,-10.0938234935984
"Jun-2001",-7.3163013999995,-9.05331754662356,-10.0832264102672
"Sep-2001",-7.32350938962954,-9.15625599250795,-10.0781065659946
"Dec-2001",-7.3239608548432,-9.09210933278199,-10.0660727345584
