date,name,value
2014-11-30,MQG,57.959999084472656
2014-11-30,BHP,24.3536319732666
2014-11-30,WES,29.18570327758789
2014-12-01,MQG,58.369998931884766
2014-12-01,BHP,25.29383087158203
2014-12-01,WES,29.178586959838867
2014-12-02,MQG,59.869998931884766
2014-12-02,BHP,25.327110290527344
2014-12-02,WES,29.634056091308594
2014-12-03,MQG,60.380001068115234
2014-12-03,BHP,25.701526641845703
2014-12-03,WES,29.72657585144043
2014-12-04,MQG,60.400001525878906
2014-12-04,BHP,25.310470581054688
2014-12-04,WES,29.92584228515625
2014-12-07,MQG,61.060001373291016
2014-12-07,BHP,25.044219970703125
2014-12-07,WES,30.480947494506836
2014-12-08,MQG,60.65999984741211
2014-12-08,BHP,24.029138565063477
2014-12-08,WES,30.34572982788086
2014-12-09,MQG,59.689998626708984
2014-12-09,BHP,24.453475952148438
2014-12-09,WES,29.698108673095703
2014-12-10,MQG,58.7599983215332
2014-12-10,BHP,24.128982543945313
2014-12-10,WES,29.6055908203125
2014-12-11,MQG,58.29999923706055
2014-12-11,BHP,23.679683685302734
2014-12-11,WES,29.477489471435547
2014-12-14,MQG,57.599998474121094
2014-12-14,BHP,23.57151985168457
2014-12-14,WES,28.836984634399414
2014-12-15,MQG,56.40999984741211
2014-12-15,BHP,22.814369201660156
2014-12-15,WES,28.73023223876953
2014-12-16,MQG,55.779998779296875
2014-12-16,BHP,22.889251708984375
2014-12-16,WES,28.836984634399414
2014-12-17,MQG,55.959999084472656
2014-12-17,BHP,23.330230712890625
2014-12-17,WES,28.893917083740234
2014-12-18,MQG,57.81999969482422
2014-12-18,BHP,24.112342834472656
2014-12-18,WES,29.39920425415039
2014-12-21,MQG,58.349998474121094
2014-12-21,BHP,24.827890396118164
2014-12-21,WES,29.847558975219727
2014-12-22,MQG,58.27000045776367
2014-12-22,BHP,23.970895767211914
2014-12-22,WES,29.562889099121094
2014-12-23,MQG,58.349998474121094
2014-12-23,BHP,24.104021072387695
2014-12-23,WES,29.83332633972168
2014-12-28,MQG,58.68000030517578
2014-12-28,BHP,24.703086853027344
2014-12-28,WES,30.20339584350586
2014-12-29,MQG,58.150001525878906
2014-12-29,BHP,24.528358459472656
2014-12-29,WES,29.90449333190918
2014-12-30,MQG,58.290000915527344
2014-12-30,BHP,24.43683433532715
2014-12-30,WES,29.690990447998047
2015-01-01,MQG,58.540000915527344
2015-01-01,BHP,24.57828140258789
2015-01-01,WES,29.826208114624023
2015-01-04,MQG,58.41999816894531
2015-01-04,BHP,24.528358459472656
2015-01-04,WES,29.79774284362793
2015-01-05,MQG,57.08000183105469
2015-01-05,BHP,23.388471603393555
2015-01-05,WES,29.6767578125
2015-01-06,MQG,57.41999816894531
2015-01-06,BHP,23.388471603393555
2015-01-06,WES,29.48460578918457
2015-01-07,MQG,57.880001068115234
2015-01-07,BHP,23.613121032714844
2015-01-07,WES,29.755041122436523
2015-01-08,MQG,57.939998626708984
2015-01-08,BHP,24.262107849121094
2015-01-08,WES,30.402664184570313
2015-01-11,MQG,57.20000076293945
2015-01-11,BHP,23.72128677368164
2015-01-11,WES,30.196279525756836
2015-01-12,MQG,56.9900016784668
2015-01-12,BHP,23.271987915039063
2015-01-12,WES,30.23897933959961
2015-01-13,MQG,55.91999816894531
2015-01-13,BHP,22.63132095336914
2015-01-13,WES,30.004127502441406
2015-01-14,MQG,55.849998474121094
2015-01-14,BHP,22.381710052490234
2015-01-14,WES,30.317262649536133
2015-01-15,MQG,55.290000915527344
2015-01-15,BHP,22.506515502929688
2015-01-15,WES,30.331497192382813
2015-01-18,MQG,58.25
2015-01-18,BHP,23.0556583404541
2015-01-18,WES,30.231863021850586
2015-01-19,MQG,59.79999923706055
2015-01-19,BHP,22.864290237426758
2015-01-19,WES,30.295913696289063
2015-01-20,MQG,59.75
2015-01-20,BHP,23.338550567626953
2015-01-20,WES,30.936418533325195
2015-01-21,MQG,59.5
2015-01-21,BHP,24.00417709350586
2015-01-21,WES,31.0289363861084
2015-01-22,MQG,61.029998779296875
