term,estimate,std.error,statistic,p.value
(Intercept),0.7685628959679224,0.6896855148381258,1.1143671708812235,0.2911875756950633
beta,-0.056201366878406864,0.690797500038581,-0.08135722389740557,0.9367631750431551
