"id1","id2","id3","id4","itrans_no","s3biv_39ii","s3biv_40","s3biv_41","s3biv_42","s3biv_43ii","s3biv_44","s3biv_45","s3biv_45_1","s3biv_45_2","s3biv_45_3","s3biv_45_4","s3biv_45_5","s3biv_46i","s3biv_46ii","s3biv_47i","s3biv_47ii","s3biv_48i","s3biv_48ii","s3biv_49","hhno"
1,10,20,27,2,1,1,3,12,-8,2,"1,5",1,5,,,,360,,35,,15,,3,101020027
1,12,30,4,1,1,1,1,12,-8,1,"1,6",1,6,,,,20,,20,,10,,4,101030004
1,8,15,55,1,1,2,,12,-8,2,"1",1,,,,,50,,50,,,,4,101015055
1,13,10,95,2,1,2,,12,-8,2,"1,5",1,5,,,,100,,,,,,3,101010095
1,10,17,2,1,2,1,2,12,-8,2,"1",1,,,,,100,,,,,,3,101017002
1,6,2,29,1,2,1,1,7,-8,2,"1,6,8",1,6,8,,,360,,,,,,4,101002029
1,17,22,35,1,1,1,1,12,,3,"1,5",1,5,,,,50,,,,,,1,101022035
1,13,11,172,1,1,2,,12,-8,5,"1,5",1,5,,,,1000,,,,,,2,101011172
1,10,18,18,1,1,1,1,1,,1,"1,2,6",1,2,6,,,1500,,800,,300,,5,101018018
1,12,29,17,1,1,2,,12,-8,3,"9",9,,,,,40,0,,,,,,101029017
1,13,10,75,2,1,2,,12,-8,1,"1",1,,,,,50,,200,,350,,3,101010075
1,12,30,27,1,1,1,1,1,-8,5,"1,5,6",1,5,6,,,370,,700,,200,,3,101030027
1,5,4,32,2,1,1,3,4,-8,5,"1,5",1,5,,,,250,,0,,0,,4,101004032
1,2,25,6,1,1,2,,2,,4,"1,9",1,9,,,,50,,,,20,,4,101025006
1,5,4,5,1,1,1,88,12,-8,5,"5",5,,,,,200,,0,,0,,3,101004005
1,1,8,19,1,1,1,1,12,-8,3,"1",1,,,,,50,,,,,,3,101008019
1,10,19,9,1,1,1,88,12,-8,5,"1,5,6",1,5,6,,,100,,,,,,,101019009
1,1,8,47,1,1,1,88,12,,3,"1,5",1,5,,,,800,,,,,,4,101008047
1,8,16,111,1,1,1,3,1,-8,5,"1",1,,,,,20,,,,,,3,101016111
1,6,1,10,3,1,2,,12,,1,"1,4",1,4,,,,50,,30,,25,,3,101001010
1,2,25,44,2,1,1,12,15,,5,"1,9",1,9,,,,280,,120,,,,4,101025044
1,6,2,25,1,1,1,1,12,,5,"5,6",5,6,,,,2800,,,,,,3,101002025
1,1,8,19,2,1,1,3,12,-8,3,"1",1,,,,,50,,120,,,,3,101008019
1,2,28,15,1,1,2,,1,-8,5,"13",13,,,,,3,50,,,,,3,101028015
1,16,23,36,1,1,1,5,4,,4,"1,8",1,8,,,,80,,,,100,,4,101023036
1,5,4,32,1,1,1,1,13,-8,5,"1,6",1,6,,,,400,,0,,0,,3,101004032
1,10,20,27,4,1,1,88,12,-8,3,"1",1,,,,,70,,30,,50,,3,101020027
1,5,4,2,1,1,1,4,13,-8,5,"1,2",1,2,,,,100,,0,,0,,3,101004002
1,10,17,11,1,1,1,6,12,-8,5,"1",1,,,,,50,,,,,,4,101017011
1,5,4,14,1,1,1,88,16,,5,"1,3,6",1,3,6,,,300,,0,,0,,2,101004014
1,13,11,146,1,1,1,88,2,,5,"1",1,,,,,100,,,,,,3,101011146
1,8,14,41,1,1,1,1,14,,4,"10",10,,,,,0,,0,,25,,3,101014041
1,11,31,38,1,1,1,1,4,,2,"1,2,6",1,2,6,,,100,,,,,,1,101031038
1,10,18,59,1,1,1,3,3,-8,5,"1,6,8",1,6,8,,,250,,,,50,,3,101018059
1,10,18,19,1,1,2,,1,-8,5,"1,8",1,8,,,,50,,,,,,3,101018019
1,5,4,10,1,1,1,1,13,,5,"1,5",1,5,,,,150,,0,,0,,3,101004010
1,10,20,26,2,1,1,5,12,-8,5,"1",1,,,,,80,,,,,,3,101020026
1,8,14,82,1,1,1,5,4,-8,5,"1,4,6",1,4,6,,,40,,0,,40,,4,101014082
1,13,12,22,1,1,1,88,16,,4,"1,2,5",1,2,5,,,700,,,,500,,2,101012022
1,10,20,26,3,1,1,1,12,-8,5,"1,8",1,8,,,,,,100,,80,,3,101020026
1,8,16,137,1,1,1,88,12,-8,2,"1,5",1,5,,,,360,,193,60,100,,3,101016137
1,10,17,49,2,1,1,5,7,-8,5,"1",1,,,,,250,,40,,20,,8,101017049
1,2,7,7,1,1,1,88,4,,5,"1,3",1,3,,,,200,,52,,500,,4,101007007
1,8,13,30,1,1,1,4,13,,5,"1,4,6",1,4,6,,,30,,,,,,4,101013030
1,8,16,152,2,1,1,4,1,-8,5,"1",1,,,,,100,,,,,,3,101016152
1,8,13,67,1,1,1,7,13,,5,"1,6",1,6,,,,80,,15,,20,,,101013067
1,10,20,10,1,1,1,3,4,-8,3,"1",1,,,,,300,,50,,,,4,101020010
1,13,9,222,1,1,1,88,2,,5,"1,6,8",1,6,8,,,100,,,,,,3,101009222
1,8,15,49,2,1,1,4,13,-8,2,"1",1,,,,,36,,,,,,3,101015049
1,8,16,154,2,1,2,,2,-8,5,"1",1,,,,,,,,,3,,3,101016154
1,10,17,29,3,1,2,,1,-8,5,"1",1,,,,,,,12,,,,3,101017029
1,12,29,11,3,1,2,,12,-8,3,"6",6,,,,,60,0,,,,,3,101029011
1,10,27,60,1,1,2,,4,-8,5,"1,6,8",1,6,8,,,100,,,,,,,101027060
1,10,27,11,1,1,1,88,9,11,5,"1,5,6",1,5,6,,,70,,,,,,3,101027011
