"id1","id2","id3","id4","entno","s5a_31ii","s5a_32ii","s5a_4ii","s5a_5ii","s5a_6","s5a_7i","s5a_7ii","s5a_b","s5a_9i","s5a_9ii","s5a_10i","s5a_10ii","s5a_11","s5a_11i","s5a_11ii","s5a_11iii","s5a_11iv","s5a_11v","s5a_11vi","s5a_11vii","s5a_11viii","s5a_11ix","s5a_11x","s5a_11xi","s5a_11xii","s5a_12","s5a_13","s5a_14ii","s5a_15","s5a_16","s5a_17","s5a_18","s5a_19","s5a_20","s5a_20i","s5a_20ii","s5a_20iii","s5a_20iv","s5a_20v","s5a_20vi","s5a_20vii","s5a_20viii","s5a_20ix","s5a_20x","s5a_20xi","s5a_20xii","s5a_20ia","s5a_20iia","s5a_20iiia","s5a_20iva","s5a_20va","s5a_20via","s5a_20viia","s5a_20viiia","s5a_20ixa","s5a_20xa","s5a_21i","s5a_21ii","s5a_22i","s5a_22ii","s5a_23","s5a_23i","s5a_23ii","s5a_23iii","s5a_23iv","s5a_23v","s5a_23vi","s5a_23vii","s5a_23viii","s5a_23ix","s5a_23x","s5a_23xi","s5a_23xii","s5a_24i","s5a_24ii","s5a_25i","s5a_25ii","s5a_26i","s5a_26ii","s5a_27i","s5a_27ii","s5a_28i","s5a_28ii","s5a_29i","s5a_29ii","hhno"
7,114,247,57,1,1,,,1,"SELLING OF YAM","RETAIL SALE",5252,,,,10,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,3,2,1,3,1,"1",1,2,2,2,2,2,2,2,2,2,0,0,100,0,0,0,0,0,0,0,0,0,200,,160,,"AAAALLLLHHHH","A","A","A","A","L","L","L","L","H","H","H","H",600,0,450,0,200,0,400,,300,,150,,107247057
6,102,205,3,2,1,,,1,"RENTAL OF BUILDING","RENTAL SERVICES",7010,,,,10,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,3,1,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"AAAAAAAAAAAA","A","A","A","A","A","A","A","A","A","A","A","A",0,0,20,0,0,0,,,,,,,106205003
6,10,219,73,1,2,,,2,"SACHET WATER SELLER","SALES",5252,,,,3,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HHHAHLLAHHAA","H","H","H","A","H","L","L","A","H","H","A","A",300,0,250,0,50,0,180,,180,,50,,106219073
6,10,218,12,1,1,,,1,"SELLING OF SECONDHAND CLOTH","SALES",5252,,,,5,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,11,2,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"AAALLLLHHAHH","A","A","A","L","L","L","L","H","H","A","H","H",200,0,120,0,80,0,80,,80,,80,,106218012
1,1,31,38,1,1,,,,"COOKED RICE SELLER","SALE OF MEALS AT LOCATION",5520,,,,20,,"ALL",1,1,1,,1,1,1,1,1,1,1,1,1,,,3,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"AAH AAAAAAAA","A","A","H",,"A","A","A","A","A","A","A","A",350,0,150,0,100,0,480,,300,,150,,101031038
5,73,142,33,1,1,,,1,"BUYING & SELLING USED CLOTHES","TRADE",5252,,,,2,,"1,2,8-12",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,1,"4",2,2,2,1,2,2,2,2,2,2,0,0,0,0,0,100,0,0,0,0,0,0,200,,100,,"HHAAALLLLLHH","H","H","A","A","A","L","L","L","L","L","H","H",450,0,300,0,200,0,320,,190,,140,,105142033
3,1,86,63,1,1,,,1,"SALE OF MINERALS PROVISION,FRO","RETAIL TRADE",5220,,,,3,,"1-3,9-11",1,1,1,,,,,,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,0,0,0,0,0,0,0,0,0,0,,,,,"LAA     LAA","L","A","A",,,,,,"L","A","A",,1200,0,800,0,300,0,,,,,,,103086063
5,80,143,24,1,1,,,1,"FURNITURE MAKING","WOOD WORK",3611,,,,11,,"ALL",,,,,,,,,,,,,1,,,3,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,300,0,200,0,80,0,180,,120,,50,,105143024
3,43,93,21,1,2,,,2,"DRESS MAKING","MANUFACTURING OF TEXTILE",1810,,,,8,7,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,17,2,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LAAAAAAAAHAH","L","A","A","A","A","A","A","A","A","H","A","H",400,0,100,0,50,0,,,,,,,103093021
6,110,227,88,1,2,,,2,"FRYING DOUGHNUT","MANUFACTURING",1541,,,,1,,"1-7",1,1,1,1,1,1,1,,,,,,1,,,5,2,10,1,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HHHHHLL","H","H","H","H","H","L","L",,,,,,240,0,0,0,120,0,164,,,,60,,106227088
