"id1","id2","id3","id4","entno","s5bii_10aii","s5bii_10bii","s5bii_10cii","s5bii_10dii","s5bii_11a","s5bii_11b","s5bii_11c","s5bii_11d","s5bii_12a","s5bii_12b","s5bii_12c","s5bii_12d","s5bii_13a","s5bii_13b","s5bii_13c","s5bii_13d","s5bii_14a","s5bii_14b","s5bii_14c","s5bii_14d","s5bii_15a","s5bii_15b","s5bii_15c","s5bii_15d","hhno"
1,13,9,206,2,1,,,,1,10,,,12,12,,,12,12,,,24,24,,,12,12,,,101009206
1,13,9,227,1,1,,,,1,10,,,12,12,,,11,11,,,24,24,,,11,11,,,101009227
1,13,9,235,1,2,,,,1,,,,4,,,,4,,,,8,,,,8,,,,101009235
1,13,9,258,2,1,,,,1,,,,12,,,,6,,,,24,,,,6,,,,101009258
1,13,9,258,1,2,,,,1,10,10,,12,12,12,,11,11,11,,24,24,24,,11,11,11,,101009258
1,13,10,64,2,,,,,,,,,,,,,,,,,,,,,,,,,101010064
1,13,10,64,1,1,2,,,1,1,,,10,14,,,8,15,,,22,30,,,8,15,,,101010064
1,13,10,88,1,2,,,,2,,,,12,,,,12,,,,24,,,,12,,,,101010088
1,13,10,132,1,1,,,,1,,,,3,,,,3,,,,12,,,,3,,,,101010132
1,13,10,150,1,1,,,,1,,,,6,,,,6,,,,24,,,,6,,,,101010150
1,13,10,175,1,2,,,,1,,,,10,,,,5,,,,22,,,,5,,,,101010175
1,13,11,6,1,1,,,,1,,,,12,,,,10,,,,24,,,,10,,,,101011006
1,13,11,19,1,1,,,,1,,,,14,,,,12,,,,30,,,,12,,,,101011019
1,13,11,28,1,1,,,,1,,,,14,,,,12,,,,30,,,,12,,,,101011028
1,13,11,44,1,1,,,,1,,,,7,,,,12,,,,30,,,,12,,,,101011044
1,13,11,48,1,2,,,,1,,,,6,,,,6,,,,24,,,,6,,,,101011048
1,13,11,58,1,2,,,,1,,,,,,,,,,,,24,,,,9,,,,101011058
