"id1","id2","id3","id4","s1ei_0","s1ei_01","hhno"
1,1,3,4,2,,101003004
1,1,3,5,2,,101003005
1,1,3,9,2,,101003009
1,1,3,11,1,1,101003011
1,1,3,12,1,1,101003012
1,1,3,13,2,,101003013
1,1,3,15,1,1,101003015
1,1,3,20,2,,101003020
1,1,3,26,2,,101003026
1,1,3,32,1,1,101003032
1,1,3,37,1,1,101003037
1,1,3,40,1,1,101003040
1,1,3,43,2,,101003043
1,1,3,46,1,1,101003046
1,1,3,50,2,,101003050
1,1,8,4,2,,101008004
1,1,8,14,2,,101008014
1,1,8,17,1,1,101008017
1,1,8,19,2,,101008019
1,1,8,21,2,,101008021
1,1,8,22,2,,101008022
1,1,8,29,2,,101008029
1,1,8,35,1,1,101008035
1,1,8,44,2,,101008044
1,1,8,47,2,,101008047
1,1,8,53,2,,101008053
1,1,8,60,1,1,101008060
1,1,8,67,2,,101008067
1,1,8,74,2,,101008074
1,1,8,78,2,,101008078
1,2,5,1,2,,101005001
1,2,5,3,2,,101005003
1,2,5,4,2,,101005004
1,2,5,13,2,,101005013
1,2,5,19,2,,101005019
1,2,5,22,2,,101005022
1,2,5,23,2,,101005023
1,2,5,24,2,,101005024
1,2,5,25,2,,101005025
1,2,5,33,2,,101005033
1,2,5,36,2,,101005036
1,2,5,40,2,,101005040
1,2,5,41,2,,101005041
1,2,5,51,2,,101005051
1,2,5,52,2,,101005052
1,2,6,1,2,,101006001
1,2,6,2,1,1,101006002
1,2,6,9,1,1,101006009
1,2,6,11,1,1,101006011
1,2,6,15,2,,101006015
1,2,6,23,2,,101006023
1,2,6,29,2,,101006029
1,2,6,36,2,,101006036
1,2,6,42,2,,101006042
1,2,6,52,2,,101006052
1,2,6,55,1,1,101006055
1,2,6,56,1,1,101006056
1,2,6,59,2,,101006059
1,2,6,60,2,,101006060
1,2,6,64,2,,101006064
1,2,7,1,1,1,101007001
1,2,7,4,1,2,101007004
1,2,7,7,2,,101007007
1,2,7,10,2,,101007010
1,2,7,11,1,1,101007011
1,2,7,14,1,1,101007014
1,2,7,19,2,,101007019
1,2,7,25,2,,101007025
1,2,7,26,2,,101007026
1,2,7,28,1,1,101007028
1,2,7,33,2,,101007033
1,2,7,36,1,1,101007036
1,2,7,40,2,,101007040
1,2,7,68,2,,101007068
1,2,7,82,2,,101007082
1,2,25,2,2,,101025002
1,2,25,3,2,,101025003
1,2,25,6,2,,101025006
1,2,25,12,2,,101025012
1,2,25,13,2,,101025013
1,2,25,33,2,,101025033
1,2,25,37,2,,101025037
1,2,25,43,2,,101025043
1,2,25,44,2,,101025044
1,2,25,50,2,,101025050
1,2,25,51,2,,101025051
1,2,25,54,2,,101025054
1,2,25,97,2,,101025097
1,2,25,100,2,,101025100
1,2,25,101,2,,101025101
1,2,26,4,2,,101026004
1,2,26,6,2,,101026006
1,2,26,8,2,,101026008
1,2,26,10,2,,101026010
1,2,26,17,2,,101026017
1,2,26,19,2,,101026019
1,2,26,23,2,,101026023
1,2,26,24,2,,101026024
1,2,26,26,2,,101026026
1,2,26,29,2,,101026029
1,2,26,30,2,,101026030
1,2,26,39,2,,101026039
1,2,26,40,2,,101026040
1,2,26,42,2,,101026042
1,2,26,43,2,,101026043
1,2,28,8,2,,101028008
1,2,28,9,2,,101028009
1,2,28,10,1,1,101028010
1,2,28,15,2,,101028015
1,2,28,18,2,,101028018
1,2,28,21,2,,101028021
1,2,28,26,2,,101028026
1,2,28,28,2,,101028028
1,2,28,31,2,,101028031
1,2,28,32,2,,101028032
1,2,28,34,2,,101028034
1,2,28,35,2,,101028035
1,2,28,41,1,1,101028041
1,2,28,43,2,,101028043
1,2,28,44,2,,101028044
1,5,4,1,1,1,101004001
1,5,4,2,1,1,101004002
1,5,4,5,2,,101004005
1,5,4,6,1,2,101004006
1,5,4,10,2,,101004010
1,5,4,12,2,,101004012
1,5,4,14,2,,101004014
1,5,4,16,1,1,101004016
1,5,4,17,2,,101004017
1,5,4,20,2,,101004020
