"id1","id2","id3","id4","s10ci","s10c_1","s10c_2","s10c_3i","s10c_3ii","s10c_4","s10c_5","s10c_6","s10c_7","s10c_8","s10c_9","s10c_10","hhno"
1,1,3,15,9,2,,,,,,,,,,"CR",101003015
1,1,3,15,37,2,,,,,,,,,,"CR",101003015
1,1,3,15,12,1,,8,,2,2,1,1,1,1,"CR",101003015
1,1,3,15,5,2,,,,,,,,,,"CR",101003015
1,1,3,15,30,2,,,,,,,,,,"CR",101003015
1,1,3,15,40,2,,,,,,,,,,"CR",101003015
1,1,3,15,13,1,,7,,2,2,1,1,1,1,"CR",101003015
1,1,3,15,26,2,,,,,,,,,,"CR",101003015
1,1,3,15,29,2,,,,,,,,,,"CR",101003015
1,1,3,15,4,2,,,,,,,,,,"CR",101003015
1,1,3,20,15,2,,,,,,,,,,"CR",101003020
1,1,3,20,24,2,,,,,,,,,,"CR",101003020
1,1,3,20,37,2,,,,,,,,,,"CR",101003020
1,1,3,20,29,2,,,,,,,,,,"CR",101003020
1,1,3,20,9,2,,,,,,,,,,"CR",101003020
1,1,3,20,5,2,,,,,,,,,,"CR",101003020
1,1,3,20,11,2,,,,,,,,,,"CR",101003020
1,1,3,20,26,2,,,,,,,,,,"CR",101003020
1,1,3,20,4,2,,,,,,,,,,"CR",101003020
1,1,3,20,30,2,,,,,,,,,,"CR",101003020
1,1,3,20,32,2,,,,,,,,,,"CR",101003020
1,1,3,20,13,2,,,,,,,,,,"CR",101003020
1,1,3,20,20,2,,,,,,,,,,"CR",101003020
1,1,3,20,12,2,,,,,,,,,,"CR",101003020
1,1,3,26,9,2,,,,,,,,,,"CR",101003026
1,1,3,26,40,2,,,,,,,,,,"CR",101003026
1,1,3,26,32,2,,,,,,,,,,"CR",101003026
1,1,3,26,37,1,,8,,1,2,2,1,1,1,"CR",101003026
1,1,3,26,30,2,,,,,,,,,,"CR",101003026
1,1,3,26,13,1,,5,,1,2,2,1,1,1,"CR",101003026
1,1,3,26,24,2,,,,,,,,,,"CR",101003026
1,1,3,26,15,2,,,,,,,,,,"CR",101003026
1,1,3,26,5,1,,8,,1,2,2,1,1,1,"CR",101003026
1,1,3,26,4,2,,,,,,,,,,"CR",101003026
1,1,3,26,20,2,,,,,,,,,,"CR",101003026
1,1,3,26,29,2,,,,,,,,,,"CR",101003026
1,1,3,26,12,1,,6,,1,2,2,1,1,1,"CR",101003026
1,1,3,26,11,1,,7,,1,2,2,1,1,1,"CR",101003026
1,1,3,32,12,1,7,11,,2,2,1,1,1,1,"CR",101003032
1,1,3,32,37,2,,,,,,,,,,"CR",101003032
1,1,3,32,24,2,,,,,,,,,,"CR",101003032
1,1,3,32,5,2,,,,,,,,,,"CR",101003032
1,1,3,32,4,2,,,,,,,,,,"CR",101003032
1,1,3,32,9,2,,,,,,,,,,"CR",101003032
1,1,3,32,29,1,7,6,,2,2,1,1,1,1,"CR",101003032
1,1,3,32,13,1,7,7,,2,2,1,1,1,1,"CR",101003032
1,1,3,32,15,2,,,,,,,,,,"CR",101003032
1,1,3,32,20,2,,,,,,,,,,"CR",101003032
1,1,3,32,11,1,7,10,,2,2,1,1,1,1,"CR",101003032
1,1,3,32,42,2,,,,,,,,,,"CR",101003032
1,1,3,32,40,2,,,,,,,,,,"CR",101003032
1,1,3,32,30,2,,,,,,,,,,"CR",101003032
1,1,3,37,20,2,,,,,,,,,,"CR",101003037
1,1,3,37,30,2,,,,,,,,,,"CR",101003037
1,1,3,37,4,2,,,,,,,,,,"CR",101003037
