"id1","id2","id3","id4","entno","s5c_29i","s5c_29ii","s5c_29iii","s5c_29iva","s5c_29ivb","s5c_29va","s5c_29vb","s5c_30i","s5c_30iia","s5c_30iib","s5c_31i","s5c_31ii","s5c_31iii","s5c_31iva","s5c_31ivb","s5c_31va","s5c_31vb","s5c_32i","s5c_32iia","s5c_32iib","s5c_33i","s5c_33ii","s5c_33iii","s5c_33iva","s5c_33ivb","s5c_33va","s5c_33vb","s5c_34i","s5c_34iia","s5c_34iib","s5c_35i","s5c_35iia","s5c_35iib","s5c_36i","s5c_36ii","s5c_36iii","s5c_36iva","s5c_36ivb","s5c_36va","s5c_36vb","s5c_37i","s5c_37iia","s5c_37iib","s5c_38i","s5c_38iia","s5c_38iib","s5c_39i","s5c_39ii","s5c_39iii","s5c_39iva","s5c_39ivb","s5c_39va","s5c_39vb","s5c_40i","s5c_40ii","s5c_40iii","s5c_40iva","s5c_40ivb","s5c_40va","s5c_40vb","s5c_41i","s5c_41ii","s5c_41iii","s5c_41iva","s5c_41ivb","s5c_41va","s5c_41vb","s5c_42i","s5c_42ii","s5c_42iii","s5c_42iva","s5c_42ivb","s5c_42va","s5c_42vb","hhno"
1,5,4,10,1,614,,27,,30,,,,,,,,,,,,,,,,,6,2,,55,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004010
1,5,4,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004012
1,5,4,14,2,1035,1,4,50,,50,,1035,10400,,,,,,,,,,,,435,,4,40,,,,,,,816,8640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004014
1,5,4,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004014
1,5,4,16,1,1035,1,4,50,,50,,1035,10400,,,,,,,,,,,,435,,4,40,,,,,,,816,8640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004016
1,5,4,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004017
1,5,4,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004024
1,5,4,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004031
1,2,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005001
1,2,5,4,1,2,20,32,,50,10,0,300,150,0,,,,,,,,,,,447,1,19,10,50,4,,,,,2,21,0,,,,,,,,,,,,,,154,1,37,35,0,35,0,77,2,37,9,50,19,0,,,,,,,,,,,,,,,101005004
