Date,AORD
1988-11-28,1451
1988-12-05,1471
1988-12-12,1447.300049
1988-12-19,1484.099976
1988-12-26,1487.400024
1989-01-02,1478.300049
1989-01-09,1517.900024
1989-01-16,1517.900024
1989-01-23,1542.599976
1989-01-30,1511.699951
1989-02-06,1509
1989-02-13,1448.099976
1989-02-20,1486.199951
1989-02-27,1508.699951
1989-03-06,1488
1989-03-13,1496.300049
1989-03-20,1486
1989-03-27,1459.599976
1989-04-03,1412.900024
1989-04-10,1416.300049
1989-04-17,1452.5
1989-04-24,1500.199951
1989-05-01,1510.800049
1989-05-08,1536.699951
1989-05-15,1562.599976
1989-05-22,1530.800049
1989-05-29,1524.900024
1989-06-05,1543.900024
1989-06-12,1528.400024
1989-06-19,1510.599976
1989-06-26,1521.099976
1989-07-03,1527.5
1989-07-10,1558.099976
1989-07-17,1603
1989-07-24,1626.900024
1989-07-31,1670.900024
1989-08-07,1694.900024
1989-08-14,1716.900024
1989-08-21,1765.199951
1989-08-28,1748.699951
1989-09-04,1758.199951
1989-09-11,1733.800049
1989-09-18,1706.800049
1989-09-25,1735.800049
1989-10-02,1773.199951
1989-10-09,1741.900024
1989-10-16,1673.800049
1989-10-23,1621.099976
1989-10-30,1657.099976
1989-11-06,1636.599976
1989-11-13,1634.400024
1989-11-20,1615.900024
1989-11-27,1624.599976
1989-12-04,1626
1989-12-11,1619.099976
1989-12-18,1645.400024
1989-12-25,1649
1990-01-01,1710.800049
1990-01-08,1713.699951
1990-01-15,1673.900024
1990-01-22,1675.300049
1990-01-29,1669.300049
1990-02-05,1630.599976
1990-02-12,1641.400024
1990-02-19,1581
1990-02-26,1568.199951
1990-03-05,1579.199951
1990-03-12,1584.5
1990-03-19,1567.400024
1990-03-26,1535.800049
1990-04-02,1513
1990-04-09,1498.400024
1990-04-16,1492.199951
1990-04-23,1456.5
1990-04-30,1461.199951
1990-05-07,1484.599976
1990-05-14,1478.099976
1990-05-21,1479.900024
1990-05-28,1513.800049
1990-06-04,1504.099976
1990-06-11,1502.5
1990-06-18,1512.5
1990-06-25,1500.699951
1990-07-02,1554.199951
1990-07-09,1601.099976
1990-07-16,1601.5
1990-07-23,1577.900024
1990-07-30,1589.699951
1990-08-06,1569.099976
1990-08-13,1543.300049
1990-08-20,1467.300049
1990-08-27,1507.599976
1990-09-03,1478.900024
1990-09-10,1480.099976
1990-09-17,1428
1990-09-24,1398.400024
1990-10-01,1356.800049
1990-10-08,1326.099976
1990-10-15,1368.599976
1990-10-22,1354.800049
1990-10-29,1291.199951
1990-11-05,1328.800049
1990-11-12,1339.900024
1990-11-19,1366.599976
1990-11-26,1319.699951
1990-12-03,1335.599976
1990-12-10,1310
1990-12-17,1272.199951
1990-12-24,1279.800049
1990-12-31,1241.5
1991-01-07,1243.800049
1991-01-14,1266.5
1991-01-21,1295.599976
1991-01-28,1302.5
1991-02-04,1340.400024
1991-02-11,1376.599976
1991-02-18,1387.300049
1991-02-25,1395.199951
1991-03-04,1415.199951
1991-03-11,1445.699951
1991-03-18,1427.5
1991-03-25,1444.099976
1991-04-01,1456.5
1991-04-08,1455.800049
1991-04-15,1520.400024
1991-04-22,1537.800049
1991-04-29,1517.800049
1991-05-06,1548.300049
1991-05-13,1531.699951
1991-05-20,1536.800049
1991-05-27,1510
1991-06-03,1478
1991-06-10,1506.800049
1991-06-17,1512.099976
1991-06-24,1506.199951
1991-07-01,1536.099976
1991-07-08,1531.900024
1991-07-15,1550.5
1991-07-22,1563.099976
1991-07-29,1582.900024
1991-08-05,1584.099976
1991-08-12,1566.900024
1991-08-19,1540.800049
1991-08-26,1540.400024
1991-09-02,1572.099976
1991-09-09,1567.800049
1991-09-16,1562.599976
1991-09-23,1558.800049
1991-09-30,1587
1991-10-07,1555.300049
1991-10-14,1617.599976
1991-10-21,1641.599976
1991-10-28,1684.099976
1991-11-04,1696.300049
1991-11-11,1676.900024
1991-11-18,1642.900024
1991-11-25,1605.699951
1991-12-02,1583.800049
1991-12-09,1598.099976
1991-12-16,1573.5
1991-12-23,1594.900024
1991-12-30,1659.400024
1992-01-06,1667.900024
1992-01-13,1673.5
1992-01-20,1615.800049
1992-01-27,1619.5
1992-02-03,1590.900024
1992-02-10,1618.900024
1992-02-17,1621.5
1992-02-24,1614.199951
1992-03-02,1604.699951
1992-03-09,1588.400024
1992-03-16,1584.099976
