"id1","id2","id3","id4","hhmid","s7a_1","s7a_2","s7a_3","s7a_4","s7a_5i","s7a_5ii","s7a_6","s7a_7","s7a_8","s7a_9","s7a_10","s7a_11","s7a_12","s7a_13","s7a_14","s7a_15","s7a_16","s7a_17","s7a_18ii","s7a_18iii","s7a_18di","s7a_18dii","s7a_19ii","s7a_19iii","s7a_19di","s7a_19dii","s7a_20ii","s7a_20iii","s7a_20di","s7a_20dii","s7a_21ii","s7a_21iii","s7a_21di","s7a_21dii","s7a_22ii","s7a_22iii","s7a_22di","s7a_22dii","s7a_23","s7a_24","s7a_25","s7a_26","s7a_27","s7a_28","s7a_29","s7a_30","s7a_31","s7a_32","s7a_33","s7a_34i","s7a_34ii","s7a_35","s7a_36i","s7a_36ii","s7a_37","s7a_38","s7a_39","hhno"
1,6,2,41,2,14,87,2,16,1,1,1,1,1,2,0,2,1,0,1,1,1,1,1999,2,,6,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,5,,6,12,,101002041
1,6,2,43,1,13,87,2,14,2,1,2,1,1,1,0,1,1,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,1,6,4,3,11,101002043
1,6,2,50,1,15,87,2,15,2,2,2,1,1,1,1,2,1,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,6,,12,24,18,101002050
1,6,2,52,2,13,87,2,12,0,0,2,1,1,1,0,1,1,0,1,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,23,,12,6,12,101002052
1,1,3,5,1,15,87,2,15,0,0,2,1,1,2,2,4,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,25,,3,36,12,101003005
1,1,3,5,2,15,87,2,16,0,0,2,1,1,4,2,6,3,2,5,2,,1,1948,2,55,2,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,41,,6,12,18,101003005
1,1,3,9,2,15,87,2,19,0,2,1,1,1,0,3,3,0,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,5,,3,12,15,101003009
1,1,3,11,2,13,87,2,14,0,1,2,1,1,4,2,6,4,2,6,2,,2,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,,16,3,6,87,101003011
1,1,3,12,2,15,87,2,13,1,0,1,1,1,1,1,2,1,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,1,1,3,87,3,101003012
1,1,3,13,1,14,87,1,15,0,0,2,1,1,1,1,2,1,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,26,,18,24,18,101003013
