"id1","id2","id3","id4","s1fi_hhmid","s1fii_39","s1fii_40","s1fii_41","s1fii_42","s1fii_43","s1fii_44","s1fii_45","s1fii_46","s1fii_47","s1fii_48","s1fii_49","s1fii_50","s1fii_51","s1fii_52","hhno"
1,1,8,53,3,2,,,,2,,,,,2,,2,,,101008053
1,1,8,53,2,2,,,,2,,,,,2,,2,,,101008053
1,1,8,53,1,2,,,,2,,,,,2,,2,,,101008053
1,1,8,53,4,,,,,,,,,,,,,,,101008053
1,1,8,60,1,1,6,5,2,1,2,2,2,4,2,,2,,"4",101008060
1,1,8,67,9,,,,,,,,,,,,,,,101008067
1,1,8,67,7,,,,,,,,,,,,,,,101008067
1,1,8,67,8,,,,,,,,,,,,,,,101008067
1,1,8,67,1,2,,,,2,,,,,2,,2,,,101008067
1,1,8,67,2,2,,,,2,,,,,2,,2,,,101008067
1,1,8,67,3,2,,,,2,,,,,2,,2,,,101008067
1,1,8,67,6,,,,,,,,,,,,,,,101008067
1,1,8,67,4,2,,,,2,,,,,,,,,,101008067
1,1,8,67,5,,,,,,,,,,,,,,,101008067
1,1,8,74,4,,,,,,,,,,,,,,,101008074
1,1,8,74,2,2,,,,2,,,,,2,,2,,,101008074
1,1,8,74,1,2,,,,2,,,,,1,3,2,,,101008074
1,1,8,74,3,2,,,,2,,,,,1,1,2,,,101008074
1,1,8,78,3,2,,,,2,,,,,2,,2,,,101008078
1,1,8,78,2,2,,,,2,,,,,2,,2,,,101008078
1,1,8,78,1,2,,,,2,,,,,2,,2,,,101008078
1,1,8,78,4,2,,,,2,,,,,2,,2,,,101008078
1,2,5,1,1,2,,,,2,,,,,2,,2,,,101005001
1,2,5,3,4,,,,,,,,,,,,,,,101005003
1,2,5,3,5,,,,,,,,,,,,,,,101005003
1,2,5,3,2,,,,,,,,,,,,,,,101005003
1,2,5,3,6,,,,,,,,,,,,,,,101005003
1,2,5,3,3,2,,,,2,,,,,2,,2,,,101005003
1,2,5,3,1,,,,,,,,,,,,,,,101005003
1,2,5,4,1,2,,,,2,,,,,,,,,,101005004
1,2,5,4,3,2,,,,2,,,,,2,,2,,,101005004
1,2,5,4,2,2,,,,2,,,,,2,,2,,,101005004
1,2,5,13,5,2,,,,2,,,,,2,,2,,,101005013
1,2,5,13,1,2,,,,2,,,,,,,,,,101005013
1,2,5,13,2,2,,,,2,,,,,,,,,,101005013
1,2,5,13,4,2,,,,2,,,,,2,,2,,,101005013
1,2,5,13,3,2,,,,2,,,,,2,,2,,,101005013
1,2,5,13,7,,,,,,,,,,,,,,,101005013
1,2,5,13,6,2,,,,2,,,,,2,,2,,,101005013
1,2,5,19,2,2,,,,2,,,,,2,,2,,,101005019
1,2,5,19,1,2,,,,2,,,,,2,,2,,,101005019
1,2,5,22,2,2,,,,2,,,,,2,,2,,,101005022
1,2,5,22,1,,,,,,,,,,,,,,,101005022
1,2,5,23,1,2,,,,2,,,,,2,,2,,,101005023
1,2,5,23,3,,,,,,,,,,,,,,,101005023
1,2,5,23,2,2,,,,2,,,,,2,,2,,,101005023
1,2,5,23,4,,,,,,,,,,,,,,,101005023
1,2,5,24,2,2,,,,2,,,,,2,,2,,"9",101005024
1,2,5,24,1,2,,,,2,,,,,2,,2,,"9",101005024
1,2,5,24,3,,,,,,,,,,,,,,,101005024
1,2,5,25,2,,,,,,,,,,,,,,,101005025
1,2,5,25,1,,,,,,,,,,,,,,,101005025
1,2,5,33,1,,,,,,,,,,,,,,,101005033
1,2,5,33,3,2,,,,2,,,,,2,,2,,,101005033
1,2,5,33,2,2,,,,2,,,,,2,,2,,,101005033
1,2,5,33,4,,,,,,,,,,,,,,,101005033
1,2,5,33,5,,,,,,,,,,,,,,,101005033
1,2,5,36,3,2,,,,2,,,,,2,,2,,,101005036
1,2,5,36,7,,,,,,,,,,,,,,,101005036
1,2,5,36,1,,,,,2,,,,,,,,,,101005036
1,2,5,36,2,2,,,,2,,,,,2,,2,,,101005036
1,2,5,36,4,2,,,,2,,,,,2,,2,,,101005036
1,2,5,36,6,2,,,,2,,,,,2,,2,,,101005036
1,2,5,36,5,2,,,,2,,,,,2,,2,,,101005036
1,2,5,40,3,,,,,,,,,,,,,,,101005040
1,2,5,40,1,2,,,,2,,,,,2,,2,,,101005040
1,2,5,40,4,,,,,,,,,,,,,,,101005040
1,2,5,40,2,,,,,,,,,,,,,,,101005040
1,2,5,41,1,2,,,,2,,,,,2,,2,,,101005041
1,2,5,41,2,2,,,,2,,,,,2,,2,,,101005041
1,2,5,51,3,2,,,,2,,,,,2,,2,,,101005051
1,2,5,51,4,,,,,,,,,,,,,,,101005051
1,2,5,51,2,2,,,,2,,,,,2,,2,,,101005051
1,2,5,51,1,2,,,,2,,,,,2,,2,,,101005051
1,2,5,52,5,2,,,,2,,,,,2,,2,,,101005052
1,2,5,52,2,2,,,,2,,,,,2,,2,,,101005052
1,2,5,52,1,2,,,,2,,,,,2,,2,,,101005052
1,2,5,52,4,2,,,,2,,,,,2,,2,,,101005052
1,2,5,52,3,2,,,,2,,,,,2,,2,,,101005052
1,2,6,1,2,2,,,,2,,,,,2,,2,,,101006001
1,2,6,1,1,2,,,,2,,,,,2,,2,,,101006001
1,2,6,2,1,2,,,,2,,,,,1,1,2,,,101006002
1,2,6,9,1,2,,,,1,1,3,1,2,2,,2,,"2,3",101006009
1,2,6,11,2,2,,,,2,,,,,2,,2,,,101006011
1,2,6,11,1,2,,,,2,,,,,2,,2,,,101006011
1,2,6,11,3,,,,,,,,,,,,,,,101006011
1,2,6,11,4,,,,,,,,,,,,,,,101006011
1,2,6,15,3,2,,,,2,,,,,2,,2,,,101006015
1,2,6,15,4,2,,,,2,,,,,2,,2,,,101006015
1,2,6,15,1,2,,,,2,,,,,2,,2,,,101006015
1,2,6,15,2,2,,,,2,,,,,2,,2,,,101006015
1,2,6,23,3,2,,,,2,,,,,2,,2,,"3",101006023
1,2,6,23,5,2,,,,2,,,,,2,,2,,,101006023
1,2,6,23,2,2,,,,2,,,,,2,,2,,,101006023
1,2,6,23,1,2,,,,2,,,,,2,,2,,,101006023
1,2,6,23,6,2,,,,2,,,,,2,,2,,,101006023
1,2,6,23,4,2,,,,2,,,,,2,,2,,,101006023
1,2,6,29,1,,,,,,,,,,,,,,,101006029
1,2,6,36,1,2,,,,2,,,,,2,,2,,"3",101006036
1,2,6,42,1,2,,,2,,,,,,2,,2,,,101006042
1,2,6,42,2,,,,,,,,,,,,,,,101006042
1,2,6,52,1,2,,,,2,,,,,2,,2,,,101006052
1,2,6,55,1,2,,,,2,,,,,1,1,2,,,101006055
1,2,6,55,2,2,,,,2,,,,,1,1,2,,,101006055
1,2,6,55,3,2,,,,2,,,,,2,,2,,,101006055
1,2,6,56,3,2,,,,2,,,,,1,2,2,,,101006056
1,2,6,56,1,2,,,,2,,,,,2,,2,,,101006056
1,2,6,56,2,2,,,,2,,,,,1,4,2,,,101006056
1,2,6,59,1,2,,,,2,,,,,1,1,2,,,101006059
1,2,6,59,2,2,,,,2,,,,,2,,2,,,101006059
1,2,6,59,3,,,,,,,,,,,,,,,101006059
1,2,6,60,1,,,,,,,,,,,,,,,101006060
1,2,6,64,1,2,,,,2,,,,,2,,2,,,101006064
1,2,7,1,1,1,6,6,1,1,4,3,5,2,2,,1,1,"4",101007001
1,2,7,4,4,2,,,,2,,,,,2,,2,,,101007004
1,2,7,4,1,2,,,,2,,,,,2,,2,,,101007004
1,2,7,4,3,2,,,,2,,,,,2,,2,,,101007004
1,2,7,4,5,2,,,,2,,,,,2,,2,,,101007004
1,2,7,4,2,2,,,,2,,,,,2,,2,,,101007004
1,2,7,4,6,2,,,,2,,,,,2,,2,,,101007004
1,2,7,7,1,2,,,,2,,,,,2,,2,,"1",101007007
1,2,7,10,1,2,,,,2,,,,,2,,2,,,101007010
1,2,7,10,2,2,,,,2,,,,,2,,2,,,101007010
1,2,7,10,3,,,,,,,,,,,,,,,101007010
1,2,7,11,1,2,,,,2,,,,,2,,2,,,101007011
1,2,7,14,2,,,,,,,,,,,,,,,101007014
1,2,7,14,1,2,,,,2,,,,,2,,2,,,101007014
1,2,7,19,7,,,,,,,,,,,,,,,101007019
1,2,7,19,6,,,,,,,,,,,,,,,101007019
1,2,7,19,5,,,,,,,,,,,,,,,101007019
1,2,7,19,1,2,,,,2,,,,,2,,2,,,101007019
1,2,7,19,3,2,,,,2,,,,,2,,2,,,101007019
1,2,7,19,2,2,,,,2,,,,,2,,2,,,101007019
1,2,7,19,4,,,,,,,,,,,,,,,101007019
1,2,7,25,6,2,,,,2,,,,,,,,,,101007025
