"id1","id2","id3","id4","entno","s5aii_30","s5aii_30ai","s5aii_30aii","s5aii_30bi","s5aii_30bii","s5aii_30ci","s5aii_30cii","s5aii_30di","s5aii_30dii","s5aii_30ei","s5aii_30eii","s5aii_30f","s5aii_31","s5aii_31ai","s5aii_31aii","s5aii_31bi","s5aii_31bii","s5aii_31ci","s5aii_31cii","s5aii_31di","s5aii_31dii","s5aii_31ei","s5aii_31eii","s5aii_31f","s5aii_32","s5aii_32ai","s5aii_32aii","s5aii_32bi","s5aii_32bii","s5aii_32ci","s5aii_32cii","s5aii_32di","s5aii_32dii","s5aii_32ei","s5aii_32eii","s5aii_32f","s5aii_33","s5aii_331","s5aii_331ai","s5aii_331aii","s5aii_331bi","s5aii_331bii","s5aii_331ci","s5aii_331cii","s5aii_331di","s5aii_331dii","s5aii_331ei","s5aii_331eii","s5aii_331f","s5aii_332","s5aii_332ai","s5aii_332aii","s5aii_332bi","s5aii_332bii","s5aii_332ci","s5aii_332cii","s5aii_332di","s5aii_332dii","s5aii_332ei","s5aii_332eii","s5aii_332f","s5aii_333","s5aii_333ai","s5aii_333aii","s5aii_333bi","s5aii_333bii","s5aii_333ci","s5aii_333cii","s5aii_333di","s5aii_333dii","s5aii_333ei","s5aii_333eii","s5aii_333f","hhno"
1,5,4,14,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"POUNCH",7,5,,,,,,,,,100,"TESTER",5,,,,,,,,,,100,"HAMMER",5,,,,,,,,,,100,101004014
1,5,4,14,2,1,72,,,,,,,,,,"50",2,,,,,,,,,,,,2,,,,,,,,,,,,1,"EARTHEN OVEN",120,,,,,,,,,,50,"WIRE MESH",215,,,,,,,,,,50,,,,,,,,,,,,,101004014
1,5,4,16,1,1,72,,,,,,,,,,"50",2,,,,,,,,,,,,2,,,,,,,,,,,,1,"EARTHERN OVEN",120,,,,,,,,,,50,"WIRE MESH",215,,,,,,,,,,50,,,,,,,,,,,,,101004016
1,5,4,17,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004017
1,5,4,24,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"ICE CHEST",60,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101004024
1,5,4,31,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004031
1,2,5,1,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005001
1,2,5,4,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,15,,15,,10,,0,,0,,"100",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005004
1,2,5,19,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005019
1,2,5,22,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005022
1,2,5,23,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,3000,,100,,200,,,,,,"50",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005023
1,2,5,24,1,1,2000,,1800,,,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005024
1,2,5,51,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005051
1,2,6,1,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"50",8,,12,,,,,,,,100,"6",25,,400,,,,,,,,100,"9",30,,35,,,,,,,,100,101006001
1,2,6,15,1,2,,,,,,,,,,,,1,3000,,,,150,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006015
1,2,6,59,2,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006059
1,2,6,59,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"22",250,,200,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006059
1,2,6,60,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006060
1,2,6,64,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"22",250,,210,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006064
1,2,7,7,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"DEEP FREEZER",500,,550,,12,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101007007
1,2,7,10,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"NAILS",20,,100,,,,20,,,,,"TOOLS BOX",2,50,,,,,,,,,100,"TABLE/CHAIR",5,,,,1,50,,,,,100,101007010
1,2,7,25,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"BASKET",1,50,1,,,,,,,,100,"CHOKO SMOKER",25,,15,,,,,,,,100,,,,,,,,,,,,,101007025
1,2,7,26,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"TABLE",2,50,2,,,,,,,,100,"KIOSK",380,15,350,,17,80,,,,,100,,,,,,,,,,,,,101007026
1,2,7,82,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,29,,500,,15,,,,,,"25",1,"PICK AXE",30,,25,,,,,,,,,"HEAD PANS",40,,32,50,,,,,,,,"SHOVEL/SPADE",35,50,28,,,,,,,,,101007082
1,1,8,4,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"WOODEN STRUCTURE",100,,170,,,,,,,,100,"TABLE",6,,,,,,,,,,100,"CHAIR",3,,,,,,,,,,100,101008004
1,1,8,14,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"COOKING POT",5,,,,,,,,,,100,"BIG PAN",8,,,,,,,,,,100,"SMALL POT",10,,,,,,,,,,100,101008014
1,1,8,19,1,1,200,,,,,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,,"MORTOR",12,,11,,,,,,,,100,"PESTLE",6,,3,,,,,,,,100,"BIG BOWLS",25,,27,,,,,,,,100,101008019
1,1,8,22,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"COOKING PAN",10,,15,,,,,,,,100,"SOAKING PAN",7,,,,,,,,,,100,,,,,,,,,,,,,101008022
1,1,8,44,1,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,"COOKING DRUM",15,,70,,,,,,,,100,"DYE DRUM",400,,,,,,,,,,100,"OIL PALM",200,,2400,,,,,,,,100,101008044
1,1,8,47,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,"OVEN (CLAY)",60,,,,,,,,,,100,"OVEN CANS",8,,,,,,,,,,100,"CLOTH",,80,,,,,,,,,100,101008047
1,1,8,67,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"SACKS",15,,40,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101008067
1,1,8,74,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"DRUMS",160,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101008074
1,13,9,61,2,2,,,,,,,,,,,,2,,,,,,,,,,,,1,100,,,,,,,,,,"100",1,"TABLE",20,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101009061
1,13,9,61,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,200,,,,,,,,,,"100",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009061
1,13,9,68,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,,,200,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009068
1,13,9,136,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009136
1,13,9,191,1,1,1500,,,,,,,,,,"100",2,,,,,,,,,,,,1,216,,,,,,,,,,"100",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009191
1,13,9,206,2,2,,,,,,,,,,,,1,3500,,3500,,,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009206
1,13,9,206,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009206
1,13,9,227,1,1,5000,,,,,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009227
1,13,9,235,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,500,,,,,,,,,,"100",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009235
1,13,9,258,2,2,,,,,,,,,,,,1,1800,,,,500,,,,,,"100",1,12,,,,,,,,,,"100",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009258
1,13,9,258,1,1,3000,,,,,,,,,,"100",2,,,,,,,,,,,,1,300,,,,,,,,,,"100",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009258
1,13,10,64,2,1,5000,,,,40,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,1,"CHAIRS",50,,,,,,,,,,100,"TABLES",20,,,,,,,,,,100,"TV",150,,,,30,,,,,,100,101010064
1,13,10,64,1,1,5000,,,,,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,1,"AUTO-MECHANIC TOOLS",100,,10,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101010064
1,13,10,88,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"REFRIGERATOR",200,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101010088
1,13,10,132,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"HAIRDRIER",270,,,,,,,,,,100,"HAIR ROLLERS",50,,,,,,,,,,100,,,,,,,,,,,,100,101010132
