DATE,CSUSHPISA
1/2/2008,169.192
1/3/2008,167.905
1/4/2008,167.325
1/5/2008,167.022
1/6/2008,166.538
1/7/2008,165.713
1/8/2008,164.278
1/9/2008,161.912
1/10/2008,159.163
1/11/2008,156.071
1/12/2008,152.545
1/1/2009,149.362
1/2/2009,147.618
1/3/2009,146.515
1/4/2009,146.943
1/5/2009,148.17
1/6/2009,149.797
1/7/2009,150.749
1/8/2009,150.668
1/9/2009,149.626
1/10/2009,148.584
1/11/2009,147.938
1/12/2009,146.664
1/1/2010,145.003
1/2/2010,143.054
1/3/2010,143.597
1/4/2010,145.403
1/5/2010,147.039
1/6/2010,147.704
1/7/2010,147.564
1/8/2010,146.428
1/9/2010,144.61
1/10/2010,143.132
1/11/2010,141.823
1/12/2010,140.632
1/1/2011,139.041
1/2/2011,137.736
1/3/2011,137.789
1/4/2011,139.159
1/5/2011,140.693
1/6/2011,141.944
1/7/2011,142.342
1/8/2011,141.785
1/9/2011,140.169
1/10/2011,138.411
1/11/2011,136.667
1/12/2011,135.169
1/1/2012,134.168
1/2/2012,133.996
1/3/2012,135.864
1/4/2012,138.471
1/5/2012,141.048
1/6/2012,143.17
1/7/2012,144.284
1/8/2012,144.707
1/9/2012,144.359
1/10/2012,143.969
1/11/2012,143.961
1/12/2012,143.868
1/1/2013,144.312
1/2/2013,145.161
1/3/2013,147.96
1/4/2013,150.968
1/5/2013,153.859
1/6/2013,156.428
1/7/2013,158.289
1/8/2013,159.397
1/9/2013,159.675
1/10/2013,159.557
1/11/2013,159.363
1/12/2013,159.28
1/1/2014,159.369
1/2/2014,159.872
1/3/2014,161.189
1/4/2014,162.97
1/5/2014,164.685
1/6/2014,166.215
1/7/2014,167.139
1/8/2014,167.454
1/9/2014,167.244
1/10/2014,166.913
1/11/2014,166.66
1/12/2014,166.462
1/1/2015,166.252
1/2/2015,166.633
1/3/2015,168.09
1/4/2015,169.97
1/5/2015,171.85
1/6/2015,173.451
1/7/2015,174.497
1/8/2015,174.939
1/9/2015,175.046
1/10/2015,175.052
1/11/2015,175.145
1/12/2015,175.119
1/1/2016,175.04
1/2/2016,175.285
1/3/2016,176.604
1/4/2016,178.497
1/5/2016,180.344
1/6/2016,181.916
1/7/2016,183.02
1/8/2016,183.658
1/9/2016,183.948
1/10/2016,184.023
1/11/2016,184.235
1/12/2016,184.407
1/1/2017,184.659
1/2/2017,185.026
1/3/2017,186.535
1/4/2017,188.55
1/5/2017,190.548
1/6/2017,192.276
1/7/2017,193.522
1/8/2017,194.357
1/9/2017,194.826
1/10/2017,195.092
1/11/2017,195.457
1/12/2017,195.852
1/1/2018,196.12
1/2/2018,196.909
1/3/2018,198.578
1/4/2018,200.621
1/5/2018,202.46
1/6/2018,204.053
1/7/2018,204.962
1/8/2018,205.34
1/9/2018,205.386
1/10/2018,205.381
1/11/2018,205.118
1/12/2018,204.709
1/1/2019,204.215
1/2/2019,204.443
1/3/2019,205.79
1/4/2019,207.702
1/5/2019,209.365
1/6/2019,210.603
1/7/2019,211.356
1/8/2019,211.715
1/9/2019,211.892
1/10/2019,211.984
1/11/2019,212.121
1/12/2019,212.251
1/1/2020,212.413
1/2/2020,213.235
1/3/2020,215.213
1/4/2020,217.26
1/5/2020,218.509
1/6/2020,219.835
1/7/2020,221.59
1/8/2020,224.07
1/9/2020,226.825
1/10/2020,229.841
1/11/2020,232.351
1/12/2020,234.405
1/1/2021,236.482
1/2/2021,239.252
1/3/2021,244.248
1/4/2021,249.844
1/5/2021,255.466
1/6/2021,261.19
1/7/2021,265.523
1/8/2021,268.798
1/9/2021,271.454
1/10/2021,273.67
1/11/2021,276.048
1/12/2021,278.628
1/1/2022,282.009
1/2/2022,287.251
1/3/2022,295.088
1/4/2022,301.764
1/5/2022,306.547
1/6/2022,308.323
1/7/2022,307.127
1/8/2022,303.648
1/9/2022,300.449
1/10/2022,298.676
1/11/2022,296.827
1/12/2022,294.32
,
